mun,nome_mun,sigla_uf,abacaxi,acai,algodao,alho,amendoim,arroz,aveia,azeitona,banana,batata_doce,batata,cacau,cafe,caju,cana,caqui,castanha_caju,cebola,centeio,cevada,coco,erva_mate,ervilha,fava,feijao,figo,fumo,girassol_grao,goiaba,laranja,limao,maca,mamao,mamona,mandioca,manga,maracuja,marmelo,melancia,melao,milho,noz,palmito,pera,pessego,soja,sorgo,tangerina,tomate,trigo,uva
1100015,Alta Floresta D'Oeste,RO,80,0,0,0,6,705,0,0,1859,0,0,26,15356,0,0,0,0,0,0,0,82,0,0,0,2044,0,0,0,35,0,0,0,8,0,11320,0,0,0,150,0,16267,0,0,0,0,1350,0,0,500,0,0
1100023,Ariquemes,RO,700,62,0,0,0,2680,0,0,2916,0,0,627,208,0,1380,0,0,0,0,0,0,0,0,0,4,0,0,0,40,12,35,0,92,0,5850,0,180,0,368,0,3600,0,2,0,0,16800,0,0,45,0,0
1100031,Cabixi,RO,30,0,0,0,0,8820,0,0,175,0,0,5,113,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1680,0,0,0,768,0,94647,0,0,0,0,86234,0,16,0,0,0
1100049,Cacoal,RO,1760,0,0,0,15,90,0,0,5220,0,0,77,20384,0,1320,0,0,0,0,0,28,0,0,0,788,0,0,0,109,0,160,0,0,0,13400,0,0,0,900,0,3616,0,28,0,0,1710,0,31,31,0,0
1100056,Cerejeiras,RO,800,0,0,0,18,3600,0,0,79,0,0,2,49,0,3325,0,0,0,0,0,24,0,0,0,22,0,0,0,24,0,0,0,50,0,2925,0,35,0,903,0,100965,0,0,0,0,112620,0,0,1080,0,0
1100064,Colorado do Oeste,RO,90,0,0,0,0,0,0,0,630,0,0,0,26,0,3850,0,0,0,0,0,71,0,0,0,4,0,0,0,0,120,45,0,90,0,3000,0,60,0,225,0,6825,0,0,0,0,9750,0,20,70,0,0
1100072,Corumbiara,RO,375,0,0,0,5,9600,0,0,160,0,0,5,34,0,500,0,0,0,0,0,40,0,0,0,42,0,0,0,0,80,8,0,90,0,3060,0,0,0,120,0,68300,0,0,0,0,121680,0,10,35,0,0
1100080,Costa Marques,RO,8,0,0,0,0,70,0,0,366,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,100,0,0,0,0,3353,0,1,0,8,0,402,0,0,0,0,0,0,0,0,0,0
1100098,Espigão D'Oeste,RO,28,24,0,0,0,84,0,0,538,0,0,5,2406,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,20,2250,660,0,375,0,5304,0,0,0,800,0,5482,0,35,0,0,2700,0,0,700,0,0
1100106,Guajará-Mirim,RO,0,16,0,0,0,18,0,0,320,0,0,0,18,0,56,0,0,0,0,0,25,0,0,0,7,0,0,0,30,17,30,0,240,0,10300,0,35,0,46,0,103,0,5,0,0,0,0,0,0,0,0
1100114,Jaru,RO,135,4,0,0,1,12,0,0,7525,0,0,358,327,0,586,0,0,0,0,0,28,0,0,0,337,0,0,0,1,22,6,0,3,0,42500,0,14,0,180,0,591,0,0,0,0,0,0,0,39,0,0
1100122,Ji-Paraná,RO,124,16,0,0,0,0,0,0,297,0,0,36,132,0,330,0,0,0,0,0,40,0,0,0,1,0,0,0,80,62,0,0,75,0,2430,0,287,0,593,0,288,0,0,0,0,0,0,0,230,0,0
1100130,Machadinho D'Oeste,RO,500,0,0,0,3,2412,0,0,3502,0,0,78,3569,0,1600,0,0,0,0,0,20,0,0,0,30,0,0,0,0,156,8,0,52,0,58000,0,55,0,500,0,1881,0,2,0,0,28320,0,0,20,0,0
1100148,Nova Brasilândia D'Oeste,RO,304,0,0,0,0,8,0,0,465,0,0,2,7849,0,0,0,0,0,0,0,20,0,0,0,56,0,0,0,18,247,0,0,185,0,5400,0,253,0,345,0,552,0,0,0,0,0,0,0,0,0,0
1100155,Ouro Preto do Oeste,RO,0,0,0,0,0,15,0,0,387,0,0,408,207,0,294,0,0,0,0,0,50,0,0,0,2,0,0,0,0,30,15,0,0,0,1880,0,0,0,750,0,200,0,12,0,0,0,0,0,60,0,0
1100189,Pimenta Bueno,RO,792,34,0,0,0,90,0,0,723,0,0,2,76,0,650,0,0,0,0,0,128,0,0,0,50,0,0,0,30,249,20,0,12,0,7040,0,73,0,1924,0,920,0,32,0,0,1840,0,33,280,0,94
1100205,Porto Velho,RO,2327,590,0,0,0,23985,0,0,15080,0,0,222,3216,0,185,0,0,0,0,0,310,0,0,0,288,0,0,0,54,128,351,0,100,0,155088,0,200,0,1356,0,57965,0,0,0,0,30880,0,0,103,0,0
1100254,Presidente Médici,RO,45,0,0,0,5,60,0,0,557,0,0,17,167,0,750,0,0,0,0,0,16,0,0,0,13,0,0,0,80,200,300,0,45,0,3400,0,540,0,40,0,630,0,5,0,0,0,0,0,0,0,70
1100262,Rio Crespo,RO,84,0,0,0,0,3938,0,0,500,0,0,3,66,0,0,0,0,0,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,5750,0,0,0,104,0,7150,0,44,0,0,50076,0,0,0,0,0
1100288,Rolim de Moura,RO,510,0,0,0,14,450,0,0,743,0,0,8,2610,0,600,0,0,0,0,0,110,0,0,0,90,0,0,0,0,1500,20,0,2400,0,9000,0,0,0,300,0,1869,0,0,0,0,7447,0,0,8,0,0
1100296,Santa Luzia D'Oeste,RO,0,0,0,0,0,60,0,0,93,0,0,5,264,0,25000,0,0,0,0,0,1,0,0,0,62,0,0,0,28,40,0,0,0,0,1496,0,0,0,60,0,960,0,0,0,0,960,0,0,110,0,7
1100304,Vilhena,RO,1890,0,0,0,0,1200,0,0,233,0,0,2,14,0,40,0,0,0,0,0,0,0,0,0,66,0,0,0,25,170,84,0,116,0,5090,0,0,0,86,0,162060,0,0,0,0,168540,0,0,1200,0,0
1100320,São Miguel do Guaporé,RO,320,0,0,0,3,12776,0,0,120,0,0,3,38398,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,82,87,0,57,0,780,0,525,0,988,0,360,0,0,0,0,32010,0,0,0,0,0
1100338,Nova Mamoré,RO,330,14,0,0,2,1221,0,0,2768,0,0,13,426,0,0,0,0,0,0,0,7,0,0,0,24,0,0,0,0,60,30,0,0,0,27945,0,41,0,370,0,1660,0,2,0,0,0,0,0,48,0,0
1100346,Alvorada D'Oeste,RO,34,3,0,0,0,315,0,0,406,0,0,82,1266,0,600,0,0,0,0,0,0,0,0,0,70,0,0,0,80,0,10,0,0,0,5080,0,60,0,486,0,297,0,1,0,0,1221,0,0,175,0,0
1100379,Alto Alegre dos Parecis,RO,92,25,0,0,20,480,0,0,244,0,0,12,9096,0,960,0,0,0,0,0,0,0,0,0,10733,0,0,0,210,255,40,0,240,0,5720,0,0,0,625,0,20520,0,0,0,0,10135,0,8,400,0,0
1100403,Alto Paraíso,RO,1350,0,0,0,0,5006,0,0,3804,0,0,8,1212,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,250,37,0,800,0,2390,0,57,0,1005,0,419,0,0,0,0,29966,0,0,45,0,0
1100452,Buritis,RO,72,710,0,0,10,14,0,0,22770,0,0,636,7980,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,144,73,0,0,0,16000,0,0,0,118,0,433,0,12,0,0,0,0,0,180,0,21
1100502,Novo Horizonte do Oeste,RO,70,0,0,0,0,99,0,0,575,0,0,4,3517,0,120,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,2540,0,200,0,150,0,559,0,0,0,0,4500,0,0,13,0,0
1100601,Cacaulândia,RO,0,0,0,0,0,0,0,0,353,0,0,94,59,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,13125,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1100700,Campo Novo de Rondônia,RO,190,0,0,0,1,338,0,0,2860,0,0,24,1117,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,0,0,19200,0,42,0,48,0,690,0,0,0,0,24,0,0,0,0,0
1100809,Candeias do Jamari,RO,250,140,0,0,0,396,0,0,1272,0,0,0,382,0,4000,0,0,0,0,0,130,0,0,0,12,0,0,0,0,64,60,0,30,0,25000,0,24,0,500,0,1200,0,0,0,0,13500,0,0,0,0,0
1100908,Castanheiras,RO,275,0,0,0,1,15,0,0,306,0,0,2,103,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,24,0,0,0,0,6130,0,400,0,170,0,3045,0,0,0,0,6300,0,0,0,0,7
1100924,Chupinguaia,RO,200,0,0,0,3,6000,0,0,656,0,0,0,41,0,500,0,0,0,0,0,8,0,0,0,54,0,0,0,0,20,0,0,0,0,7500,0,0,0,480,0,79470,0,0,0,0,101400,0,0,0,0,0
1100940,Cujubim,RO,2444,0,0,0,0,4900,0,0,792,0,0,21,657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,3900,0,5,0,320,0,2106,0,0,0,0,24324,0,0,0,0,0
1101005,Governador Jorge Teixeira,RO,72,0,0,0,21,13,0,0,9000,0,0,211,97,0,1800,0,0,0,0,0,28,0,0,0,48,0,0,0,18,70,5,0,46,0,11050,0,38,0,65,0,804,0,4,0,0,0,0,0,60,0,0
1101104,Itapuã do Oeste,RO,375,175,0,0,1,2729,0,0,48,0,0,0,17,0,175,0,0,0,0,0,0,0,0,0,6,0,0,0,0,18,0,0,0,0,4520,0,0,0,65,0,2198,0,90,0,0,4446,0,6,18,0,0
