imovel,estado,cidade,bairro,preco,preco_aprox,preco_dol,area_total,area,preco_dol_m2,preco_m2
apartamento,São Paulo,São Paulo,Jardim Paulista,15000.0,15143.9,4734.5,350.0,275.0,17.2,54.5
casa,São Paulo,São Paulo,Piqueri,2500.0,2538.2,793.6,180.0,150.0,5.3,16.7
apartamento,São Paulo,São Paulo,Brooklin,3000.0,3045.9,952.3,100.0,49.0,19.4,61.2
apartamento,São Paulo,São Paulo,Vila Santa Catarina,1500.0,1514.4,473.4,1000.0,96.0,4.9,15625.0
apartamento,São Paulo,Indaiatuba,Jardim Sevilha,1200.0,1197.7,374.5,0.0,69.0,5.4,17.4
apartamento,São Paulo,São José dos Campos,Jardim Ismênia,810.0,808.5,252.8,0.0,56.0,4.5,14.5
apartamento,São Paulo,Piracicaba,Piracicamirim,700.0,698.7,218.4,52.0,52.0,4.2,13.5
apartamento,São Paulo,Campinas,Centro,500.0,504.8,157.8,35.0,35.0,4.5,14.3
apartamento,São Paulo,São Bernardo do Campo,,900.0,898.3,280.8,0.0,54.0,5.2,16.7
apartamento,São Paulo,São Paulo,Itaim Bibi,5880.0,5936.4,1855.9,195.0,180.0,10.3,32.7
loja,Rio de Janeiro,Rio de Janeiro,Barra da Tijuca,1500.0,1497.2,468.1,43.0,43.0,10.9,34.9
apartamento,São Paulo,São Paulo,Brooklin Paulista,6900.0,6887.1,2153.2,0.0,70.0,30.8,98.6
apartamento,São Paulo,Arujá,,1200.0,1197.7,374.5,0.0,65.0,5.8,18.5
apartamento,São Paulo,São Paulo,Brooklin Novo,4400.0,4391.7,1373.0,84.0,84.0,16.3,52.4
apartamento,São Paulo,Piracicaba,Vila Monteiro,500.0,499.0,156.0,55.0,55.0,2.8,9.1
apartamento,São Paulo,São Paulo,Pinheiros,3950.0,3987.9,1246.8,0.0,46.0,27.1,85.9
apartamento,São Paulo,São Paulo,Consolação,1980.0,1976.3,617.9,65.0,65.0,9.5,30.5
loja,São Paulo,São Paulo,Cidade Monções,13118.0,13093.4,4093.5,187.0,200.0,20.5,65.6
apartamento,São Paulo,São Paulo,Jabaquara,1600.0,1597.0,499.3,48.0,48.0,10.4,33.3
