mun,nome_mun,meso,nome_meso,micro,nome_micro,uf,nome_uf,beneficiarios,popul,tx_beneficiarios
1100015,Alta Floresta D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,1444.0,24097,5.992447192596589
1100379,Alto Alegre dos Parecis,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,126.0,12760,0.987460815047022
1100403,Alto Paraíso,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,256.0,17112,1.496026180458158
1100346,Alvorada D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,586.0,16694,3.5102432011501135
1100023,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,7467.0,89766,8.318294231669006
1100452,Buritis,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,872.0,32264,2.7027027027027026
1100031,Cabixi,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,191.0,6303,3.0303030303030303
1100601,Cacaulândia,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,110.0,5724,1.9217330538085255
1100049,Cacoal,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,8387.0,78141,10.733161848453436
1100700,Campo Novo de Rondônia,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,68.0,12603,0.5395540744267238
1100809,Candeias do Jamari,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,573.0,19681,2.911437426960012
1100908,Castanheiras,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,47.0,3559,1.3205956729418376
1100056,Cerejeiras,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,776.0,16942,4.580332900484004
1100924,Chupinguaia,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,171.0,8054,2.1231686118698785
1100064,Colorado do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,1157.0,18540,6.240560949298814
1100072,Corumbiara,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,95.0,8647,1.0986469295709493
1100080,Costa Marques,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,247.0,13539,1.8243592584385848
1100940,Cujubim,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,156.0,15699,0.9936938658513281
1100098,Espigão D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,1468.0,28510,5.149070501578393
1101005,Governador Jorge Teixeira,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,79.0,10449,0.7560532108335726
1100106,Guajará-Mirim,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,2173.0,39928,5.442296133039471
1101104,Itapuã do Oeste,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,439.0,8443,5.199573611275613
1100114,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,2828.0,51715,5.46843275645364
1100122,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,14091.0,115896,12.158314350797268
1100130,Machadinho D'Oeste,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,649.0,31020,2.0921985815602837
1101203,Ministro Andreazza,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,169.0,10352,1.6325347758887172
1101302,Mirante da Serra,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,234.0,11878,1.9700286243475331
1101401,Monte Negro,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,168.0,14019,1.1983736357800128
1100148,Nova Brasilândia D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,371.0,19526,1.9000307282597562
1100338,Nova Mamoré,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,342.0,22263,1.53618110766743
1101435,Nova União,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,56.0,7481,0.7485630263333779
1100502,Novo Horizonte do Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,140.0,10198,1.3728181996469895
1100155,Ouro Preto do Oeste,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,2899.0,37661,7.697618225750777
1101450,Parecis,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,55.0,4774,1.1520737327188941
1100189,Pimenta Bueno,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,3340.0,33611,9.937222932968373
1101468,Pimenteiras do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,26.0,2275,1.1428571428571428
1100205,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,81357.0,422555,19.25358829028174
1100254,Presidente Médici,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,1238.0,22262,5.561045728146618
1101476,Primavera de Rondônia,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,101.0,3490,2.8939828080229226
1100262,Rio Crespo,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,72.0,3286,2.1911138161898966
1100288,Rolim de Moura,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,2943.0,50379,5.841719764187459
1100296,Santa Luzia D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,222.0,8865,2.504230118443316
1101484,São Felipe D'Oeste,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,159.0,5996,2.6517678452301534
1101492,São Francisco do Guaporé,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,245.0,15997,1.5315371632181034
1100320,São Miguel do Guaporé,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,533.0,21700,2.456221198156682
1101500,Seringueiras,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,184.0,11429,1.6099396272639777
1101559,Teixeirópolis,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,108.0,4854,2.2249690976514214
1101609,Theobroma,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,116.0,10335,1.1223996129656508
1101708,Urupá,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,301.0,12897,2.333876095215942
1101757,Vale do Anari,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,78.0,9362,0.8331553086947234
1101807,Vale do Paraíso,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,99.0,8195,1.2080536912751678
1100304,Vilhena,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,11641.0,75614,15.395297167191261
1200013,Acrelândia,1202,Vale do Acre,12004,Rio Branco,12,Acre,167.0,12519,1.3339723620097452
1200054,Assis Brasil,1202,Vale do Acre,12005,Brasiléia,12,Acre,79.0,6017,1.3129466511550607
1200104,Brasiléia,1202,Vale do Acre,12005,Brasiléia,12,Acre,227.0,21262,1.067632395823535
1200138,Bujari,1202,Vale do Acre,12004,Rio Branco,12,Acre,129.0,8439,1.5286171347316033
1200179,Capixaba,1202,Vale do Acre,12004,Rio Branco,12,Acre,35.0,8798,0.3978176858376904
1200203,Cruzeiro do Sul,1201,Vale do Juruá,12001,Cruzeiro do Sul,12,Acre,1182.0,77987,1.5156372215882135
