mun,nome_mun,meso,nome_meso,micro,nome_micro,uf,nome_uf,beneficiarios
1100015,Alta Floresta D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,1444
1100379,Alto Alegre dos Parecis,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,126
1100403,Alto Paraíso,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,256
1100346,Alvorada D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,586
1100023,Ariquemes,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,7467
1100452,Buritis,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,872
1100031,Cabixi,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,191
1100601,Cacaulândia,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,110
1100049,Cacoal,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,8387
1100700,Campo Novo de Rondônia,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,68
1100809,Candeias do Jamari,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,573
1100908,Castanheiras,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,47
1100056,Cerejeiras,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,776
1100924,Chupinguaia,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,171
1100064,Colorado do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,1157
1100072,Corumbiara,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,95
1100080,Costa Marques,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,247
1100940,Cujubim,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,156
1100098,Espigão D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,1468
1101005,Governador Jorge Teixeira,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,79
1100106,Guajará-Mirim,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,2173
1101104,Itapuã do Oeste,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,439
1100114,Jaru,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,2828
1100122,Ji-Paraná,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,14091
1100130,Machadinho D'Oeste,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,649
1101203,Ministro Andreazza,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,169
1101302,Mirante da Serra,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,234
1101401,Monte Negro,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,168
1100148,Nova Brasilândia D'Oeste,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,371
1100338,Nova Mamoré,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,342
1101435,Nova União,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,56
1100502,Novo Horizonte do Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,140
1100155,Ouro Preto do Oeste,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,2899
1101450,Parecis,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,55
1100189,Pimenta Bueno,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,3340
1101468,Pimenteiras do Oeste,1102,Leste Rondoniense,11008,Colorado do Oeste,11,Rondônia,26
1100205,Porto Velho,1101,Madeira-Guaporé,11001,Porto Velho,11,Rondônia,81357
1100254,Presidente Médici,1102,Leste Rondoniense,11004,Ji-Paraná,11,Rondônia,1238
1101476,Primavera de Rondônia,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,101
1100262,Rio Crespo,1102,Leste Rondoniense,11003,Ariquemes,11,Rondônia,72
1100288,Rolim de Moura,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,2943
1100296,Santa Luzia D'Oeste,1102,Leste Rondoniense,11006,Cacoal,11,Rondônia,222
1101484,São Felipe D'Oeste,1102,Leste Rondoniense,11007,Vilhena,11,Rondônia,159
1101492,São Francisco do Guaporé,1101,Madeira-Guaporé,11002,Guajará-Mirim,11,Rondônia,245
1100320,São Miguel do Guaporé,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,533
1101500,Seringueiras,1102,Leste Rondoniense,11005,Alvorada D'Oeste,11,Rondônia,184
