nome_mun,mun,uf,nome_uf,regiao,nome_regiao,rm,meso,nome_meso,micro,nome_micro,cod_rgi,nome_rgi,cod_rgint,nome_rgint,codmun6
Itapuã do Oeste,1101104,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,110110
Candeias do Jamari,1100809,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,110080
Nova Mamoré,1100338,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,110033
Porto Velho,1100205,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110001,Porto Velho,1101,Porto Velho,110020
Guajará-Mirim,1100106,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110001,Porto Velho,1101,Porto Velho,110010
Monte Negro,1101401,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,110140
Cujubim,1100940,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho,110094
Campo Novo de Rondônia,1100700,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho,110070
Cacaulândia,1100601,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,110060
Buritis,1100452,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11001,Porto Velho,110002,Ariquemes,1101,Porto Velho,110045
Alto Paraíso,1100403,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,110040
Rio Crespo,1100262,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,110026
Ariquemes,1100023,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110002,Ariquemes,1101,Porto Velho,110002
Vale do Anari,1101757,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110003,Jaru,1101,Porto Velho,110175
Theobroma,1101609,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho,110160
Governador Jorge Teixeira,1101005,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho,110100
Machadinho D'Oeste,1100130,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11003,Ariquemes,110003,Jaru,1101,Porto Velho,110013
Jaru,1100114,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110003,Jaru,1101,Porto Velho,110011
Vale do Paraíso,1101807,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,110180
Urupá,1101708,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,110170
Teixeirópolis,1101559,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,110155
Seringueiras,1101500,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná,110150
São Francisco do Guaporé,1101492,11,Rondônia,1,Norte,,1101,Madeira-Guaporé,11002,Guajará-Mirim,110004,Ji-Paraná,1102,Ji-Paraná,110149
Nova União,1101435,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,110143
Mirante da Serra,1101302,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11004,Ji-Paraná,110004,Ji-Paraná,1102,Ji-Paraná,110130
Alvorada D'Oeste,1100346,11,Rondônia,1,Norte,,1102,Leste Rondoniense,11005,Alvorada D'Oeste,110004,Ji-Paraná,1102,Ji-Paraná,110034
