nome_mun,codmun6,mun,micro,nome_micro,meso,nome_meso,uf,sigla_uf,nome_uf,regiao,nome_regiao,rm
Alta Floresta D'Oeste,110001,1100015,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Ariquemes,110002,1100023,11003,Ariquemes,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Cabixi,110003,1100031,11008,Colorado do Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Cacoal,110004,1100049,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Cerejeiras,110005,1100056,11008,Colorado do Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Colorado do Oeste,110006,1100064,11008,Colorado do Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Corumbiara,110007,1100072,11008,Colorado do Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Costa Marques,110008,1100080,11002,Guajará-Mirim,1101,Madeira-Guaporé,11,RO,Rondônia,1,Norte,
Espigão D'Oeste,110009,1100098,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Guajará-Mirim,110010,1100106,11002,Guajará-Mirim,1101,Madeira-Guaporé,11,RO,Rondônia,1,Norte,
Jaru,110011,1100114,11004,Ji-Paraná,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Ji-Paraná,110012,1100122,11004,Ji-Paraná,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Machadinho D'Oeste,110013,1100130,11003,Ariquemes,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Nova Brasilândia D'Oeste,110014,1100148,11005,Alvorada D'Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Ouro Preto do Oeste,110015,1100155,11004,Ji-Paraná,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Pimenta Bueno,110018,1100189,11007,Vilhena,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Porto Velho,110020,1100205,11001,Porto Velho,1101,Madeira-Guaporé,11,RO,Rondônia,1,Norte,
Presidente Médici,110025,1100254,11004,Ji-Paraná,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Rio Crespo,110026,1100262,11003,Ariquemes,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Rolim de Moura,110028,1100288,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Santa Luzia D'Oeste,110029,1100296,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Vilhena,110030,1100304,11007,Vilhena,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
São Miguel do Guaporé,110032,1100320,11005,Alvorada D'Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Nova Mamoré,110033,1100338,11001,Porto Velho,1101,Madeira-Guaporé,11,RO,Rondônia,1,Norte,
Alvorada D'Oeste,110034,1100346,11005,Alvorada D'Oeste,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Alto Alegre dos Parecis,110037,1100379,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Alto Paraíso,110040,1100403,11003,Ariquemes,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Buritis,110045,1100452,11001,Porto Velho,1101,Madeira-Guaporé,11,RO,Rondônia,1,Norte,
Novo Horizonte do Oeste,110050,1100502,11006,Cacoal,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
Cacaulândia,110060,1100601,11003,Ariquemes,1102,Leste Rondoniense,11,RO,Rondônia,1,Norte,
