mun,nome_mun,nome_micro,nome_meso,sigla_uf,algodao,arroz,banana,cafe,cana,feijao,fumo,laranja,mandioca,milho,soja,tomate
1100015,Alta Floresta D'Oeste,Cacoal,Leste Rondoniense,RO,0,705,1859,0,0,2044,0,0,11320,16267,1350,500
1100023,Ariquemes,Ariquemes,Leste Rondoniense,RO,0,2680,2916,0,1380,4,0,12,5850,3600,16800,45
1100031,Cabixi,Colorado do Oeste,Leste Rondoniense,RO,0,8820,175,0,17000,0,0,20,1680,94647,86234,0
1100049,Cacoal,Cacoal,Leste Rondoniense,RO,0,90,5220,0,1320,788,0,0,13400,3616,1710,31
1100056,Cerejeiras,Colorado do Oeste,Leste Rondoniense,RO,0,3600,79,0,3325,22,0,0,2925,100965,112620,1080
1100064,Colorado do Oeste,Colorado do Oeste,Leste Rondoniense,RO,0,0,630,0,3850,4,0,120,3000,6825,9750,70
1100072,Corumbiara,Colorado do Oeste,Leste Rondoniense,RO,0,9600,160,0,500,42,0,80,3060,68300,121680,35
1100080,Costa Marques,Guajará-Mirim,Madeira-Guaporé,RO,0,70,366,0,0,17,0,100,3353,402,0,0
1100098,Espigão D'Oeste,Cacoal,Leste Rondoniense,RO,0,84,538,0,0,126,0,2250,5304,5482,2700,700
1100106,Guajará-Mirim,Guajará-Mirim,Madeira-Guaporé,RO,0,18,320,0,56,7,0,17,10300,103,0,0
1100114,Jaru,Ji-Paraná,Leste Rondoniense,RO,0,12,7525,0,586,337,0,22,42500,591,0,39
1100122,Ji-Paraná,Ji-Paraná,Leste Rondoniense,RO,0,0,297,0,330,1,0,62,2430,288,0,230
1100130,Machadinho D'Oeste,Ariquemes,Leste Rondoniense,RO,0,2412,3502,0,1600,30,0,156,58000,1881,28320,20
1100148,Nova Brasilândia D'Oeste,Alvorada D'Oeste,Leste Rondoniense,RO,0,8,465,0,0,56,0,247,5400,552,0,0
1100155,Ouro Preto do Oeste,Ji-Paraná,Leste Rondoniense,RO,0,15,387,0,294,2,0,30,1880,200,0,60
1100189,Pimenta Bueno,Vilhena,Leste Rondoniense,RO,0,90,723,0,650,50,0,249,7040,920,1840,280
1100205,Porto Velho,Porto Velho,Madeira-Guaporé,RO,0,23985,15080,0,185,288,0,128,155088,57965,30880,103
1100254,Presidente Médici,Ji-Paraná,Leste Rondoniense,RO,0,60,557,0,750,13,0,200,3400,630,0,0
1100262,Rio Crespo,Ariquemes,Leste Rondoniense,RO,0,3938,500,0,0,2,0,0,5750,7150,50076,0
1100288,Rolim de Moura,Cacoal,Leste Rondoniense,RO,0,450,743,0,600,90,0,1500,9000,1869,7447,8
1100296,Santa Luzia D'Oeste,Cacoal,Leste Rondoniense,RO,0,60,93,0,25000,62,0,40,1496,960,960,110
1100304,Vilhena,Vilhena,Leste Rondoniense,RO,0,1200,233,0,40,66,0,170,5090,162060,168540,1200
