mun;municipio;ano;algodao;arroz;banana;cafe;cana;feijao;fumo;laranja;mandioca;milho;soja;tomate
1100015;Alta Floresta D'Oeste (RO);2008;0;1556;1551;11475;359;7600;0;65;5808;17820;0;298
1100023;Ariquemes (RO);2008;0;9009;560;3668;564;521;0;827;6000;5025;0;59
1100031;Cabixi (RO);2008;0;5400;104;38;300;60;0;32;1920;15000;21000;15
1100049;Cacoal (RO);2008;0;2214;4176;12645;600;2612;0;321;11988;6723;0;75
1100056;Cerejeiras (RO);2008;0;9900;108;34;2655;54;0;107;2400;14580;57240;143
1100064;Colorado do Oeste (RO);2008;0;2880;418;84;565;232;0;126;3400;7200;12000;44
1100072;Corumbiara (RO);2008;0;8685;209;38;580;96;0;86;3600;11400;37500;12
1100080;Costa Marques (RO);2008;0;360;160;143;60;60;0;42;1500;405;0;27
1100098;Espigão D'Oeste (RO);2008;0;2160;538;1848;2320;570;0;2823;4148;6348;0;42
1100106;Guajará-Mirim (RO);2008;0;156;200;6;275;48;0;153;16200;690;0;29
1100114;Jaru (RO);2008;0;2797;1169;1470;660;843;0;63;11268;4935;0;41
1100122;Ji-Paraná (RO);2008;0;403;747;1872;1440;348;0;132;7812;2024;0;180
1100130;Machadinho D'Oeste (RO);2008;0;4405;933;6143;119;785;0;65;43640;5775;0;36
1100148;Nova Brasilândia D'Oeste (RO);2008;0;1229;557;7600;587;739;0;71;5040;2308;0;43
1100155;Ouro Preto do Oeste (RO);2008;0;144;974;2640;420;660;0;72;23400;2160;0;85
1100189;Pimenta Bueno (RO);2008;0;596;872;387;288;189;0;59;6400;966;0;25
1100205;Porto Velho (RO);2008;0;1682;3200;698;3000;375;0;212;108600;3266;552;148
1100254;Presidente Médici (RO);2008;0;5460;650;1103;1500;1525;0;410;9000;3637;0;68
1100262;Rio Crespo (RO);2008;0;2436;348;746;290;151;0;21;2992;792;54;14
1100288;Rolim de Moura (RO);2008;0;1680;585;2969;18200;912;0;489;5060;2505;0;32
