uf,nome_uf,nome_meso,micro,nome_micro,mun,cod_mun_c,nome_mun,dist,distrito,nome_distrito
29,Bahia,Nordeste Baiano,018,Entre Rios,17904,2917904,jandaíra,10,291790410,abadia
31,Minas Gerais,Jequitinhonha,011,Capelinha,13503,3113503,carbonita,10,311350310,abadia de carbonita
52,Goiás,Centro Goiano,010,Goiânia,00050,5200050,abadia de goiás,05,520005005,abadia de goiás
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,00104,3100104,abadia dos dourados,05,310010405,abadia dos dourados
52,Goiás,Leste Goiano,012,Entorno de Brasília,00100,5200100,abadiânia,05,520010005,abadiânia
31,Minas Gerais,Central Mineira,024,Três Marias,00203,3100203,abaeté,05,310020305,abaeté
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,55504,3155504,rio paranaíba,10,315550410,abaeté dos mendes
31,Minas Gerais,Triângulo Mineiro/Alto Paranaíba,020,Patos de Minas,62104,3162104,são gotardo,07,316210407,abaeté dos venâncios
15,Pará,Nordeste Paraense,011,Cametá,00107,1500107,abaetetuba,05,150010705,abaetetuba
23,Ceará,Sul Cearense,033,Brejo Santo,00101,2300101,abaiara,05,230010105,abaiara
31,Minas Gerais,Zona da Mata,066,Cataguases,38401,3138401,leopoldina,10,313840110,abaíba
29,Bahia,Centro Sul Baiano,023,Seabra,00108,2900108,abaíra,05,290010805,abaíra
41,Paraná,Centro Oriental Paranaense,021,Ponta Grossa,04907,4104907,castro,10,410490710,abapã
29,Bahia,Vale São-Franciscano da Bahia,005,Paulo Afonso,00207,2900207,abaré,05,290020705,abaré
33,Rio de Janeiro,Sul Fluminense,012,Barra do Piraí,04508,3304508,rio das flores,10,330450810,abarracamento
41,Paraná,Norte Pioneiro Paranaense,015,Cornélio Procópio,00103,4100103,abatiá,05,410010305,abatiá
42,Santa Catarina,Serrana,009,Curitibanos,00051,4200051,abdon batista,05,420005105,abdon batista
