ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo
3100104,Abadia dos Dourados,Triangulo Mineiro/Alto Paranaiba,685,413,366,"22,26",N?o,Sim,2,"64,7",63,"0,8","0,9","16,8","72,5",4,7037,8,21,9,"6,55",2741,"540,7","4,55",0,0,"15,32",,
3100203,Abaet?,Central Mineira,2259,812,796,"42,99",N?o,Sim,1,"65,4",44,"2,3","2,2","33,1","65,8",7,23574,7,21,9,"4,17",4077,"258,94","6,32","16,97","16,33","14,01",,
3100302,Abre Campo,Zona da Mata,1896,1412,1254,"29,26",N?o,Sim,1,"73,7","50,2","1,5","1,4","11,9","71,3",4,13726,8,20,9,"14,75",1586,"152,43","7,07","36,43","85,07","4,26",,100
3100401,Acaiaca,Zona da Mata,796,674,615,"11,53",N?o,Sim,1,81,"79,3","3,4","3,6","42,6",100,1,4061,8,21,10,"29,39",418,"132,16","5,17",0,0,"6,06",,
3100500,A?ucena,Vale do Rio Doce,1691,1074,952,"24,26",N?o,Sim,1,"80,6","50,6","0,8","0,8",9,75,19,10066,8,21,9,"15,22",445,"59,31","7,45","49,67","38,7","9,4",,
3100609,?gua Boa,Vale do Rio Doce,2839,2512,2214,"15,65",N?o,Sim,1,"92,3","59,5","1,9","2,1","21,3","96,1",11,14524,8,21,9,"28,55",923,"78,99","4,13",0,0,"1,6",,
3100708,?gua Comprida,Triangulo Mineiro/Alto Paranaiba,248,177,117,"8,77",N?o,Sim,1,"73,2","42,8","4,4","3,8","22,1","77,7",3,2061,7,20,11,"12,82",432,"414,43","8,25",0,0,"11,06",,100
3100807,Aguanil,Oeste de Minas,580,315,275,"11,08",N?o,Sim,1,"66,8","40,8","0,6","0,4","47,4","62,6",1,4406,8,21,10,"9,87",719,"227,32","7,49",0,0,"8,76",,
3100906,?guas Formosas,Vale do Mucuri,3865,2996,2743,"45,68",N?o,Sim,1,86,54,"2,2","2,3","29,1","73,2",7,19363,8,21,9,"28,02",1974,"156,74","7,9","10,33",0,"4,7",,
3101003,?guas Vermelhas,Norte de Minas,2884,2430,2152,"19,84",N?o,Sim,1,"90,4","50,9","2,8","2,7","21,6","78,9",7,13513,8,20,9,"31,55",1051,"98,39","4,88","7,4",0,"0,95",53,
3101102,Aimor?s,Vale do Rio Doce,3961,2754,2517,"27,28",Sim,Sim,1,"73,9","43,4","1,5","1,5","27,6","59,9",11,25703,8,20,9,"16,43",3035,"183,15","8,6","50,58","135,17","7,8",,100
3101201,Aiuruoca,Sul/Sudoeste de Minas,462,293,286,"53,8",N?o,Sim,1,"60,1","41,5","1,5","1,6","15,8","66,1",2,6224,8,21,9,"5,39",800,"195,73","9,64",0,0,"4,35",,
3101300,Alagoa,Sul/Sudoeste de Minas,346,258,234,"17,81",N?o,Sim,1,"64,6","57,7",0,0,"1,6","84,8",1,2756,7,19,10,"12,19",331,"189,4","7,62",0,0,"9,33",,
3101409,Albertina,Sul/Sudoeste de Minas,168,100,74,"8,55",N?o,Sim,1,"75,3","40,8","0,3","0,3",24,"57,1",3,3040,7,20,11,"3,82",406,"210,12","4,28",0,0,"9,87",,
3101508,Al?m Para?ba,Zona da Mata,3899,2216,1973,"35,68",Sim,,,"67,4","40,6","1,5","1,4","35,8","64,4",7,35795,8,21,8,"8,45",5988,"256,65","8,83","8,38","10,33","17,7",,100
3101607,Alfenas,Sul/Sudoeste de Minas,5043,2241,2441,"26,62",Sim,Sim,1,"79,7","57,6","1,8","1,6","44,6",81,45,79222,8,19,8,"4,03",19490,"564,66","6,98","8,84","23,65","23,47",96,100
3101631,Alfredo Vasconcelos,Campo das Vertentes,857,508,463,"11,27",N?o,Sim,1,"79,1","55,3","0,8","0,8","1,2","77,8",7,6709,8,21,9,"9,2",806,"162,73","5,51",0,0,"6,83",,
3101706,Almenara,Jequitinhonha,8025,6550,5466,"58,26",N?o,Sim,2,"79,2","51,3","2,5","2,5",19,"81,2",4,41552,8,20,8,"21,1",4950,"180,33","6,35","21,66","62,35","6,88","95,8",
3101805,Alpercata,Vale do Rio Doce,1438,1054,841,"14,22",N?o,Sim,1,"79,6","53,9","0,9","0,9","34,3","78,1",4,7497,8,21,9,"19,46",871,"156,41","9,2","26,68","103,18","6,62",,
3101904,Alpin?polis,Sul/Sudoeste de Minas,2376,1059,921,"23,09",N?o,Sim,1,"68,5","60,9","3,3","3,3","21,5","77,2",5,19741,8,21,9,"6,3",2503,"196,97","6,43","55,72","78,94","8,25",,
3102001,Alterosa,Sul/Sudoeste de Minas,1507,807,735,"35,16",N?o,Sim,1,"72,4","53,1","1,6","1,7","22,6","65,1",11,14494,8,20,9,"8,18",1469,"142,88","9,18",0,0,"5,63",100,
3102050,Alto Capara?,Zona da Mata,833,583,511,"8,57",N?o,Sim,1,"67,4","37,5","0,6","0,6","31,6","53,8",2,5748,8,20,9,"12,29",536,"129,59","6,09","17,4",0,"2,84",,
3102100,Alto Rio Doce,Zona da Mata,2327,1932,1797,"23,65",N?o,Sim,1,"69,3","56,3","0,6","0,6","12,4","71,5",4,11792,7,21,9,"23,31",761,"86,11","10,18","8,48","32,98","3,04",,
3102209,Alvarenga,Vale do Rio Doce,921,715,607,"15,61",N?o,Sim,1,"93,7","53,7","3,1",3,"43,8","75,5",6,4245,8,20,10,"21,58",74,"21,4","12,25","70,67",0,"0,94",,
3102308,Alvin?polis,Metropolitana de Belo Horizonte,2079,1461,1304,"17,28",N?o,Sim,1,"68,2","50,1","1,7","1,7","23,8",63,4,15609,8,22,9,"12,63",2396,"235,92","6,79","12,81",0,"11,55",,
3102407,Alvorada de Minas,Metropolitana de Belo Horizonte,803,571,522,"27,23",N?o,Sim,1,100,"71,8","1,1","1,1","23,3","99,8",6,3669,8,21,10,"25,37",413,"160,64","7,36","54,51",0,"4,33",,
3102506,Amparo da Serra,Zona da Mata,766,594,550,"18,6",N?o,,,68,"39,7",0,0,0,"64,3",4,4947,8,21,9,"18,81",357,"96,02","8,89","20,21",0,"7,62",,
3102605,Andradas,Sul/Sudoeste de Minas,2239,932,884,"20,73",N?o,Sim,1,"67,6","46,2","1,3","1,2","30,7","56,7",3,40407,8,21,8,"3,06",10639,"451,27","8,22","7,42","18,26","16,75",,
3102704,Cachoeira de Paje?,Jequitinhonha,2044,1764,1618,"27,14",N?o,Sim,1,"87,9","64,6","0,6","0,7",2,"88,4",10,9445,8,21,9,"36,77",588,"75,15","8,79","21,18","81,64","0,6",,
3102803,Andrel?ndia,Sul/Sudoeste de Minas,1813,1286,1143,"29,68",N?o,Sim,1,"66,5","50,3","1,4","1,5","11,4","65,8",3,12507,8,20,9,"11,82",1692,"191,25","6,08",8,0,"6,74",,90
3102852,Angel?ndia,Jequitinhonha,1841,1546,1318,"23,61",N?o,Sim,1,100,"78,3","1,4","1,4","27,6",100,10,8502,8,21,9,"38,12",590,"96,97","4,59",0,0,"0,71",,
