ibge7,mun,tx_fund_adeq,tx_med_adeq,tx_atend_0_3,tx_aten15_17
3100104,Abadia dos Dourados,64,7,63,0
3100203,Abaeté,65,4,44,0
3100302,Abre Campo,73,7,50,2
3100401,Acaiaca,81,0,79,3
3100500,Açucena,80,6,50,6
3100609,Água Boa,92,3,59,5
3100708,Água Comprida,73,2,42,8
3100807,Aguanil,66,8,40,8
3100906,Águas Formosas,86,0,54,0
3101003,Águas Vermelhas,90,4,50,9
3101102,Aimorés,73,9,43,4
3101201,Aiuruoca,60,1,41,5
3101300,Alagoa,64,6,57,7
3101409,Albertina,75,3,40,8
3101508,Além Paraíba,67,4,40,6
3101607,Alfenas,79,7,57,6
3101631,Alfredo Vasconcelos,79,1,55,3
3101706,Almenara,79,2,51,3
3101805,Alpercata,79,6,53,9
3101904,Alpinópolis,68,5,60,9
3102001,Alterosa,72,4,53,1
3102050,Alto Caparaó,67,4,37,5
3153509,Alto Jequitibá,79,5,57,2
3102100,Alto Rio Doce,69,3,56,3
3102209,Alvarenga,93,7,53,7
3102308,Alvinópolis,68,2,50,1
3102407,Alvorada de Minas,100,0,71,8
3102506,Amparo da Serra,68,0,39,7
3102605,Andradas,67,6,46,2
3102803,Andrelândia,66,5,50,3
3102852,Angelândia,100,0,78,3
3102902,Antônio Carlos,62,6,43,4
3103009,Antônio Dias,79,4,61,9
3103108,Antônio Prado de Minas,71,2,57,9
3103207,Araçaí,85,9,65,8
3103306,Aracitaba,64,7,49,1
3103405,Araçuaí,80,8,65,2
3103504,Araguari,78,2,58,9
3103603,Arantina,79,3,65,2
3103702,Araponga,67,7,44,2
3103751,Araporã,76,2,45,8
3103801,Arapuá,71,0,43,7
3103900,Araújos,82,0,56,3
3104007,Araxá,83,2,57,5
3104106,Arceburgo,69,9,25,1
3104205,Arcos,73,4,59,1
3104304,Areado,74,9,56,1
3104403,Argirita,63,3,41,1
3104452,Aricanduva,100,0,66,9
3104502,Arinos,96,1,79,2
3104601,Astolfo Dutra,61,1,44,1
3104700,Ataléia,73,7,41,9
3104809,Augusto de Lima,87,4,47,3
3104908,Baependi,70,8,57,9
3105004,Baldim,82,3,53,3
3105103,Bambuí,62,2,71,4
