ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo,area,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3100104,Abadia dos Dourados,Triângulo Mineiro/Alto Paranaíba,685,413,366,22.26,Não,Sim,2,64.7,63.0,0.8,0.9,16.8,72.5,4,7037,8,21,9,6.55,2741,540.7,4.55,0.0,0.0,15.32,0.0,0.0,881.1,0,0,47,0,30,460,18,0,0,0,8028,11685,1212,0,100,0,43745,128,0
3100203,Abaeté,Central Mineira,2259,812,796,42.99,Não,Sim,1,65.4,44.0,2.3,2.2,33.1,65.8,7,23574,7,21,9,4.17,4077,258.94,6.32,16.97,16.33,14.01,0.0,0.0,1817.1,0,0,28,0,0,9000,0,0,0,15,4680,1404,0,0,0,0,50383,218,1550
3100302,Abre Campo,Zona da Mata,1896,1412,1254,29.26,Não,Sim,1,73.7,50.2,1.5,1.4,11.9,71.3,4,13726,8,20,9,14.75,1586,152.43,7.07,36.43,85.07,4.26,0.0,100.0,470.6,0,0,50,0,3140,9000,170,0,0,0,780,0,0,0,0,0,7100,103,1074
3100401,Acaiaca,Zona da Mata,796,674,615,11.53,Não,Sim,1,81.0,79.3,3.4,3.6,42.6,100.0,1,4061,8,21,10,29.39,418,132.16,5.17,0.0,0.0,6.06,0.0,0.0,101.9,0,0,56,0,3,1340,33,7,0,0,202,0,0,0,0,0,1385,23,2500
3100500,Açucena,Vale do Rio Doce,1691,1074,952,24.26,Não,Sim,1,80.6,50.6,0.8,0.8,9.0,75.0,19,10066,8,21,9,15.22,445,59.31,7.45,49.67,38.7,9.4,0.0,0.0,815.4,0,0,170,0,10,3000,74,0,0,0,942,0,0,0,0,0,9061,57,266
3100609,Água Boa,Vale do Rio Doce,2839,2512,2214,15.65,Não,Sim,1,92.3,59.5,1.9,2.1,21.3,96.1,11,14524,8,21,9,28.55,923,78.99,4.13,0.0,0.0,1.6,0.0,0.0,1320.3,0,0,427,0,1740,6174,431,69,5,0,2912,0,0,8,1324,0,16820,147,2000
3100708,Água Comprida,Triângulo Mineiro/Alto Paranaíba,248,177,117,8.77,Não,Sim,1,73.2,42.8,4.4,3.8,22.1,77.7,3,2061,7,20,11,12.82,432,414.43,8.25,0.0,0.0,11.06,0.0,100.0,491.0,0,0,0,0,0,1190000,0,0,0,0,24600,27540,25800,0,0,0,2642,12,0
3100807,Aguanil,Oeste de Minas,580,315,275,11.08,Não,Sim,1,66.8,40.8,0.6,0.4,47.4,62.6,1,4406,8,21,10,9.87,719,227.32,7.49,0.0,0.0,8.76,0.0,0.0,232.1,0,0,132,0,1801,10920,141,240,0,15,13500,0,0,50,100,0,7008,87,0
3100906,Águas Formosas,Vale do Mucuri,3865,2996,2743,45.68,Não,Sim,1,86.0,54.0,2.2,2.3,29.1,73.2,7,19363,8,21,9,28.02,1974,156.74,7.9,10.33,0.0,4.7,0.0,0.0,820.1,0,0,27,0,0,1080,12,0,0,0,21,0,0,0,0,0,8972,26,0
3101003,Águas Vermelhas,Norte de Minas,2884,2430,2152,19.84,Não,Sim,1,90.4,50.9,2.8,2.7,21.6,78.9,7,13513,8,20,9,31.55,1051,98.39,4.88,7.4,0.0,0.95,53.0,0.0,1258.8,0,0,1131,0,1200,75,140,6,0,0,206,0,0,5,0,0,379,49,600
3101102,Aimorés,Vale do Rio Doce,3961,2754,2517,27.28,Sim,Sim,1,73.9,43.4,1.5,1.5,27.6,59.9,11,25703,8,20,9,16.43,3035,183.15,8.6,50.58,135.17,7.8,0.0,100.0,1348.8,0,0,500,0,963,2080,305,325,150,336,4050,0,0,84,3510,0,22265,92,2850
3101201,Aiuruoca,Sul/Sudoeste de Minas,462,293,286,53.8,Não,Sim,1,60.1,41.5,1.5,1.6,15.8,66.1,2,6224,8,21,9,5.39,800,195.73,9.64,0.0,0.0,4.35,0.0,0.0,649.7,0,0,0,0,15,2400,268,0,0,0,5848,416,0,0,0,0,27169,39,6400
3101300,Alagoa,Sul/Sudoeste de Minas,346,258,234,17.81,Não,Sim,1,64.6,57.7,0.0,0.0,1.6,84.8,1,2756,7,19,10,12.19,331,189.4,7.62,0.0,0.0,9.33,0.0,0.0,161.4,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,10386,14,1940
