ibge7,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup
3100104,Abadia dos Dourados,66.53,0.0,0.0,0.0,11.0,34.6,16.28,50.6,100.0,74.5,14.9,0.0,Não,6704,3400,3304,41.95,62.49,1.97,75.0,596.18,920.1
3100203,Abaeté,56.22,0.0,8.73,27.27,10.6,30.8,19.24,44.5,100.0,61.7,26.4,8.8,Não,22700,11230,11460,45.45,86.84,2.33,76.0,707.24,930.85
3100302,Abre Campo,30.9,0.0,0.0,27.21,15.0,25.8,17.7,35.2,100.0,37.5,37.5,15.0,Não,13311,6669,6642,49.46,54.7,1.87,74.0,444.32,685.72
3100401,Acaiaca,0.0,0.0,0.0,20.83,17.1,28.6,17.28,64.6,68.3,229.5,25.5,25.5,Não,3924,1894,2026,53.78,65.13,1.91,74.0,357.03,646.71
3100500,Açucena,0.0,34.13,0.0,19.61,24.9,21.0,13.02,42.3,72.9,38.9,77.8,38.9,Não,10298,5228,5048,59.84,46.76,2.11,76.0,325.42,514.6
3100609,Água Boa,0.0,0.0,0.0,0.0,36.1,20.2,13.45,28.0,100.0,52.6,92.1,32.9,Não,15193,7742,7453,62.71,46.3,2.43,73.0,322.12,511.49
3100708,Água Comprida,0.0,0.0,0.0,76.92,9.5,29.4,14.72,48.7,100.0,98.7,49.3,0.0,Não,2020,1058,945,40.97,75.06,2.29,77.0,701.19,998.23
3100807,Aguanil,110.13,0.0,0.0,0.0,15.9,28.8,15.32,38.0,100.0,0.0,49.3,24.6,Não,4049,2055,1984,45.54,57.84,2.22,76.0,524.43,781.84
3100906,Águas Formosas,0.0,37.63,0.0,16.18,31.3,31.6,21.6,38.6,100.0,10.8,54.1,37.8,Não,18482,9318,9161,57.83,77.48,2.67,74.0,389.57,640.97
3101003,Águas Vermelhas,28.61,26.38,0.0,0.0,36.5,21.3,12.37,29.9,100.0,15.7,47.1,15.7,Não,12718,6526,6196,55.51,70.28,2.6,73.0,306.97,591.65
3101102,Aimorés,51.69,50.06,23.26,14.79,17.7,35.8,24.02,46.5,100.0,68.1,52.0,28.0,Não,24969,12061,12898,51.4,78.93,2.11,74.0,567.46,893.84
3101201,Aiuruoca,0.0,0.0,0.0,16.95,17.1,26.2,17.54,32.5,100.0,16.2,16.2,0.0,Não,6173,3206,2956,45.96,50.68,1.85,77.0,539.92,734.85
3101300,Alagoa,0.0,0.0,0.0,0.0,17.2,24.8,15.62,52.3,100.0,36.9,0.0,0.0,Não,2709,1408,1301,46.6,40.97,2.08,75.0,413.75,558.92
3101409,Albertina,0.0,0.0,0.0,0.0,14.7,29.1,16.17,45.2,100.0,0.0,34.3,34.3,Não,2913,1488,1425,47.53,69.07,1.83,74.0,564.08,796.26
3101508,Além Paraíba,0.0,0.0,11.23,26.49,7.5,47.5,32.66,51.2,100.0,14.5,29.1,5.8,Não,34341,16507,17768,46.54,93.36,2.04,76.0,674.5,1058.91
3101607,Alfenas,36.42,29.83,10.61,13.46,7.1,51.5,36.37,63.1,89.4,154.5,21.6,8.1,Não,73722,36061,37677,42.06,93.77,1.88,75.0,783.41,1229.94
3101631,Alfredo Vasconcelos,130.55,0.0,0.0,18.52,12.6,31.8,18.65,45.5,100.0,49.3,0.0,0.0,Não,6078,3110,2965,44.58,66.35,1.74,75.0,400.14,657.6
3101706,Almenara,38.77,0.0,15.59,20.91,27.6,31.3,20.36,36.4,100.0,154.7,51.5,10.3,Não,38779,19396,19099,50.65,81.88,2.27,73.0,419.98,708.25
3101805,Alpercata,57.7,0.0,0.0,0.0,20.2,30.5,16.43,34.0,100.0,27.8,27.8,13.9,Não,7172,3590,3582,55.08,78.92,2.06,74.0,401.21,750.59
3101904,Alpinópolis,62.67,41.89,22.23,21.74,9.4,36.6,22.34,61.7,100.0,43.2,21.6,10.8,Não,18490,9493,8995,43.54,81.08,2.04,77.0,633.91,1029.25
3102001,Alterosa,61.73,0.0,0.0,0.0,12.6,26.8,16.98,43.4,100.0,0.0,7.2,0.0,Não,13714,6845,6625,48.06,72.92,2.04,76.0,475.99,703.77
3102050,Alto Caparaó,0.0,0.0,38.9,28.17,14.2,26.7,15.07,38.4,100.0,0.0,0.0,0.0,Não,5297,2577,2433,46.56,74.83,1.77,76.0,505.1,689.19
3102100,Alto Rio Doce,0.0,0.0,0.0,0.0,18.4,20.1,11.93,55.1,100.0,8.2,0.0,0.0,Não,12158,6102,6057,49.47,41.7,1.52,75.0,323.95,460.95
3102209,Alvarenga,93.11,0.0,0.0,0.0,22.5,20.7,10.41,32.1,100.0,0.0,67.5,22.5,Não,4443,2239,2205,51.65,47.68,1.8,73.0,312.46,517.53
