ibge7,meso,nome_meso,micro,nome_micro,mun,tx_mort_acid_15_29,tx_mort_hom_15_29,tx_mort_mama,tx_mort_inf,existe_conselho_saude,tx_analf_25m,prop_fund_25m,perc_med_25m,tx_med_adeq,tx_med_lab,existe_conselho_educ,tx_crimes_pat,tx_crimes_pes,tx_hom,existe_uni_infra,perc_energia,perc_banagua,perc_esgoto,perc_lixo,pop_total,pop_masc,pop_fem,raz_dep,tx_urb,tx_fec,esp_vida,rdpc,renocup,perc_rdpc_140,fam_pbf,tx_emp_form,rend_pc_form,pib_pc,perc_agro,perc_serv,tx_ativ_18m
3100104,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,Abadia dos Dourados,66.53,0.0,0.0,0.0,Não,11.0,34.6,16.28,50.6,100.0,Sim,74.5,14.9,0.0,Não,98.55,98.18,55.01,98.03,6704,3400,3304,41.95,62.49,1.97,75.0,596.18,920.1,7.94,589,22.9,114.28,11744.69,37.9,26.86,65.97
3100203,3106,Central Mineira,31024,Três Marias,Abaeté,56.22,0.0,8.73,27.27,Sim,10.6,30.8,19.24,44.5,100.0,Sim,61.7,26.4,8.8,Não,99.92,97.43,79.66,98.42,22700,11230,11460,45.45,86.84,2.33,76.0,707.24,930.85,6.69,1428,27.5,172.19,11466.39,22.08,40.06,65.9
3100302,3112,Zona da Mata,31061,Manhuaçu,Abre Campo,30.9,0.0,0.0,27.21,Sim,15.0,25.8,17.7,35.2,100.0,Sim,37.5,37.5,15.0,Não,99.36,98.77,45.88,95.55,13311,6669,6642,49.46,54.7,1.87,74.0,444.32,685.72,23.33,1293,20.1,117.72,7998.32,45.8,31.92,63.8
3100401,3112,Zona da Mata,31060,Ponte Nova,Acaiaca,0.0,0.0,0.0,20.83,Não,17.1,28.6,17.28,64.6,68.3,Sim,229.5,25.5,25.5,Não,99.83,99.59,59.76,99.28,3924,1894,2026,53.78,65.13,1.91,74.0,357.03,646.71,26.53,389,11.7,61.49,6049.45,25.16,41.87,57.71
3100500,3108,Vale do Rio Doce,31039,Ipatinga,Açucena,0.0,34.13,0.0,19.61,Sim,24.9,21.0,13.02,42.3,72.9,Sim,38.9,77.8,38.9,Não,95.13,82.93,40.88,49.38,10298,5228,5048,59.84,46.76,2.11,76.0,325.42,514.6,30.7,1172,10.3,52.78,5603.93,41.22,29.89,54.21
3100609,3108,Vale do Rio Doce,31036,Peçanha,Água Boa,0.0,0.0,0.0,0.0,Sim,36.1,20.2,13.45,28.0,100.0,Sim,52.6,92.1,32.9,Não,92.94,66.55,32.88,82.48,15193,7742,7453,62.71,46.3,2.43,73.0,322.12,511.49,31.79,1918,9.4,45.07,5777.4,57.58,23.31,68.48
3100708,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,Água Comprida,0.0,0.0,0.0,76.92,Sim,9.5,29.4,14.72,48.7,100.0,Sim,98.7,49.3,0.0,Não,100.0,99.0,74.92,99.87,2020,1058,945,40.97,75.06,2.29,77.0,701.19,998.23,4.39,97,28.7,237.63,61894.55,38.81,42.12,69.81
3100807,3109,Oeste de Minas,31045,Campo Belo,Aguanil,110.13,0.0,0.0,0.0,Sim,15.9,28.8,15.32,38.0,100.0,Sim,0.0,49.3,24.6,Não,100.0,99.42,64.88,99.11,4049,2055,1984,45.54,57.84,2.22,76.0,524.43,781.84,8.51,244,29.3,157.67,8036.41,36.78,24.49,64.85
3100906,3104,Vale do Mucuri,31016,Nanuque,Águas Formosas,0.0,37.63,0.0,16.18,Sim,31.3,31.6,21.6,38.6,100.0,Sim,10.8,54.1,37.8,Não,97.39,84.4,68.5,96.82,18482,9318,9161,57.83,77.48,2.67,74.0,389.57,640.97,31.69,2302,11.2,58.73,5897.46,34.92,35.16,65.49
3101003,3102,Norte de Minas,31005,Salinas,Águas Vermelhas,28.61,26.38,0.0,0.0,Sim,36.5,21.3,12.37,29.9,100.0,Sim,15.7,47.1,15.7,Não,98.45,81.92,29.84,97.75,12718,6526,6196,55.51,70.28,2.6,73.0,306.97,591.65,33.19,1607,10.2,60.93,7629.4,33.63,30.37,54.85
3101102,3108,Vale do Rio Doce,31041,Aimorés,Aimorés,51.69,50.06,23.26,14.79,Sim,17.7,35.8,24.02,46.5,100.0,Sim,68.1,52.0,28.0,Não,99.96,97.46,76.28,96.41,24969,12061,12898,51.4,78.93,2.11,74.0,567.46,893.84,14.09,2258,19.0,113.7,10356.11,26.29,40.91,61.54
3101201,3110,Sul/Sudoeste de Minas,31055,Andrelândia,Aiuruoca,0.0,0.0,0.0,16.95,Não,17.1,26.2,17.54,32.5,100.0,Sim,16.2,16.2,0.0,Não,98.59,99.18,34.52,99.76,6173,3206,2956,45.96,50.68,1.85,77.0,539.92,734.85,11.7,283,19.8,113.9,9477.41,36.35,35.66,68.45
3101300,3110,Sul/Sudoeste de Minas,31054,São Lourenço,Alagoa,0.0,0.0,0.0,0.0,Não,17.2,24.8,15.62,52.3,100.0,Sim,36.9,0.0,0.0,Não,99.23,98.34,53.14,98.19,2709,1408,1301,46.6,40.97,2.08,75.0,413.75,558.92,17.57,263,15.7,103.43,9395.8,54.15,30.5,64.49
3101409,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,Albertina,0.0,0.0,0.0,0.0,Não,14.7,29.1,16.17,45.2,100.0,Sim,0.0,34.3,34.3,Não,100.0,99.75,65.93,99.66,2913,1488,1425,47.53,69.07,1.83,74.0,564.08,796.26,3.02,114,18.7,119.71,14661.8,52.97,22.83,74.53
3101508,3112,Zona da Mata,31066,Cataguases,Além Paraíba,0.0,0.0,11.23,26.49,Sim,7.5,47.5,32.66,51.2,100.0,Sim,14.5,29.1,5.8,Não,99.48,99.07,79.3,98.4,34341,16507,17768,46.54,93.36,2.04,76.0,674.5,1058.91,9.22,1804,33.6,264.25,18812.56,6.73,48.36,63.73
3101607,3110,Sul/Sudoeste de Minas,31049,Alfenas,Alfenas,36.42,29.83,10.61,13.46,Não,7.1,51.5,36.37,63.1,89.4,Sim,154.5,21.6,8.1,Não,99.97,98.1,93.2,99.86,73722,36061,37677,42.06,93.77,1.88,75.0,783.41,1229.94,5.53,3263,33.5,314.28,17398.74,11.93,47.82,68.37
3101631,3111,Campo das Vertentes,31059,Barbacena,Alfredo Vasconcelos,130.55,0.0,0.0,18.52,Sim,12.6,31.8,18.65,45.5,100.0,Sim,49.3,0.0,0.0,Não,99.67,99.35,61.11,99.3,6078,3110,2965,44.58,66.35,1.74,75.0,400.14,657.6,16.92,394,17.3,95.49,7923.38,35.45,30.23,62.73
3101706,3103,Jequitinhonha,31014,Almenara,Almenara,38.77,0.0,15.59,20.91,Sim,27.6,31.3,20.36,36.4,100.0,Sim,154.7,51.5,10.3,Não,96.72,85.83,75.15,95.63,38779,19396,19099,50.65,81.88,2.27,73.0,419.98,708.25,25.31,4418,18.8,107.66,6297.94,25.5,40.13,63.44
3101805,3108,Vale do Rio Doce,31037,Governador Valadares,Alpercata,57.7,0.0,0.0,0.0,Não,20.2,30.5,16.43,34.0,100.0,Sim,27.8,27.8,13.9,Não,99.45,95.46,69.48,84.03,7172,3590,3582,55.08,78.92,2.06,74.0,401.21,750.59,15.19,698,20.9,99.07,6226.28,19.67,40.8,56.39
3101904,3110,Sul/Sudoeste de Minas,31047,Passos,Alpinópolis,62.67,41.89,22.23,21.74,Sim,9.4,36.6,22.34,61.7,100.0,Sim,43.2,21.6,10.8,Não,99.9,97.39,80.43,99.8,18490,9493,8995,43.54,81.08,2.04,77.0,633.91,1029.25,8.46,754,21.1,133.12,12567.83,29.99,30.86,66.19
3102001,3110,Sul/Sudoeste de Minas,31049,Alfenas,Alterosa,61.73,0.0,0.0,0.0,Não,12.6,26.8,16.98,43.4,100.0,Sim,0.0,7.2,0.0,Não,99.76,99.97,71.97,100.0,13714,6845,6625,48.06,72.92,2.04,76.0,475.99,703.77,12.4,790,13.6,81.06,8813.6,48.22,24.84,65.32
3102050,3112,Zona da Mata,31061,Manhuaçu,Alto Caparaó,0.0,0.0,38.9,28.17,Sim,14.2,26.7,15.07,38.4,100.0,Sim,0.0,0.0,0.0,Não,100.0,98.75,63.53,100.0,5297,2577,2433,46.56,74.83,1.77,76.0,505.1,689.19,11.78,413,12.0,64.19,8417.0,55.42,28.99,75.54
3102100,3112,Zona da Mata,31062,Viçosa,Alto Rio Doce,0.0,0.0,0.0,0.0,Não,18.4,20.1,11.93,55.1,100.0,Sim,8.2,0.0,0.0,Não,98.46,83.53,35.77,96.65,12158,6102,6057,49.47,41.7,1.52,75.0,323.95,460.95,29.5,1441,9.1,54.4,6023.79,46.32,29.88,54.99
