,mort_inf,PIB_pc,alfabet,telef
0,163.07,700.0,36.0,3.2
1,21.52,4500.0,86.5,71.2
2,31.0,6000.0,70.0,78.1
3,9.27,8000.0,97.0,259.5
4,4.05,19000.0,100.0,497.2
5,191.19,1900.0,42.0,7.8
6,21.03,8600.0,95.0,460.0
7,19.46,11000.0,89.0,549.9
8,15.18,11200.0,97.1,220.4
9,23.28,3500.0,98.6,195.7
10,5.89,28000.0,97.0,516.1
11,4.69,29000.0,100.0,565.5
12,4.66,30000.0,98.0,452.2
13,81.74,3400.0,97.0,137.1
14,25.21,16700.0,95.6,460.6
15,17.27,16900.0,89.1,281.3
16,62.6,1900.0,43.1,7.3
17,12.5,15700.0,97.4,481.9
18,13.37,6100.0,99.6,319.1
19,4.68,29100.0,98.0,462.6
20,25.69,4900.0,94.1,115.7
21,85.0,1100.0,40.9,9.7
22,8.53,36000.0,98.0,851.4
23,100.44,1300.0,42.2,14.3
24,53.11,2400.0,87.2,71.9
25,21.05,6100.0,82.83827751196172,215.4
26,54.58,9000.0,79.8,80.5
27,29.61,7600.0,86.4,225.3
28,18.05,16000.0,97.8,506.5
29,12.61,18600.0,93.9,237.2
30,20.55,7600.0,98.6,336.3
31,97.57,1100.0,26.6,7.0
32,67.24,1800.0,85.3,10.1
33,69.29,600.0,51.6,3.4
34,71.48,1900.0,69.4,2.6
35,68.26,1800.0,79.0,5.7
36,4.75,29800.0,97.0,552.2
37,47.77,1400.0,76.6,169.6
38,8.19,35000.0,98.0,836.3
39,91.0,1100.0,51.0,2.3
40,93.82,1200.0,47.5,1.3
41,8.8,9900.0,96.2,213.0
42,24.18,5000.0,90.9,266.7
43,20.97,6300.0,92.5,176.2
44,74.93,700.0,56.5,24.5
45,94.69,700.0,65.5,0.2
46,93.86,700.0,83.8,3.7
47,35.50696428571427,5000.0,95.0,289.9
48,9.95,9100.0,96.0,340.7
49,90.83,1400.0,50.9,14.6
50,6.84,10600.0,98.5,420.4
51,6.33,2900.0,97.0,74.7
52,7.18,19200.0,97.6,236.06143497757856
53,3.93,15700.0,99.9,314.3
54,4.56,31100.0,100.0,614.6
55,104.13,1300.0,67.9,22.8
56,14.15,5400.0,94.0,304.8
57,32.38,6000.0,84.7,97.4
58,47.41,500.0,58.6,236.06143497757856
59,23.66,3300.0,92.5,125.6
60,32.59,4000.0,57.7,131.8
61,25.1,4800.0,80.2,142.4
62,85.13,2700.0,85.7,18.5
63,74.87,700.0,58.6,7.9
64,7.87,12300.0,99.8,333.8
65,95.32,700.0,42.7,8.2
66,6.24,22000.0,82.83827751196172,503.8
67,12.62,5800.0,93.7,112.6
68,3.57,27400.0,100.0,405.3
69,4.26,27600.0,99.0,586.4
70,12.07,8300.0,83.0,255.6
71,8.44,17500.0,98.0,194.5
72,53.64,5500.0,63.2,27.4
73,72.02,1700.0,40.1,26.8
74,22.93,600.0,82.83827751196172,244.3
75,18.59,2500.0,99.0,146.6
76,4.16,27600.0,99.0,667.9
77,51.43,2200.0,74.8,14.4
78,5.13,17500.0,82.83827751196172,877.7
79,5.53,20000.0,97.5,589.7
80,15.82,20000.0,82.83827751196172,448.9
81,14.62,5000.0,98.0,364.5
82,8.6,8000.0,90.0,463.8
83,6.94,21000.0,99.0,492.0
84,35.93,4100.0,70.6,92.1
85,4.71,20000.0,82.83827751196172,842.4
86,90.37,2100.0,35.9,2.7
87,107.17,800.0,42.4,7.4
88,33.26,4000.0,98.8,143.5
89,73.45,1600.0,52.9,16.9
90,29.32,2600.0,76.2,67.5
91,2.97,28800.0,93.5,546.7
92,8.57,13900.0,99.4,336.2
93,3.31,30900.0,99.9,647.7
94,56.29,2900.0,59.5,45.4
95,35.6,3200.0,87.9,52.0
96,41.58,7000.0,79.4,276.4
97,50.25,1500.0,40.4,38.6
98,5.39,29600.0,98.0,500.5
99,5.93,21000.0,82.83827751196172,676.0
100,7.03,19800.0,95.4,462.3
101,5.94,26700.0,98.6,430.9
102,12.36,3900.0,87.9,124.0
103,3.26,28200.0,99.0,461.2
104,5.24,24800.0,82.83827751196172,811.3
105,17.35,4300.0,91.3,104.5
106,29.21,6300.0,98.4,164.1
107,61.47,1000.0,85.1,8.1
108,48.52,800.0,82.83827751196172,42.7
109,24.04,1300.0,99.0,42.4
110,7.05,17800.0,97.9,486.1
111,9.95,19000.0,83.5,211.0
112,35.64,1600.0,97.0,84.0
