codmun,reeleito,sexo,idade,escolaridade,partido
110001,Não,Masculino,55,Ensino médio incompleto,PMDB
110002,Não,Masculino,56,Ensino médio completo,PMN
110003,Sim,Masculino,42,Pós-graduação,PTB
110004,Sim,Masculino,67,Ensino superior completo,PT
110005,Não,Masculino,55,Ensino superior completo,PP
110006,Sim,Masculino,44,Ensino médio completo,PP
110007,Não,Masculino,38,Ensino fundamental completo,PDT
110008,Não,Masculino,60,Ensino fundamental incompleto,PT
110009,Sim,Masculino,56,Pós-graduação,PMDB
110010,Não,Masculino,65,Pós-graduação,PT
110011,Não,Masculino,45,Ensino superior completo,PT
110012,Não,Masculino,54,Ensino superior completo,PSB
110013,Sim,Masculino,41,Ensino médio completo,PV
110014,Não,Masculino,51,Ensino médio completo,PMDB
110015,Sim,Masculino,48,Ensino médio completo,PSD
110018,Não,Masculino,33,Pós-graduação,PTB
110020,Não,Masculino,54,Ensino superior completo,PSB
110025,Não,Feminino,46,Pós-graduação,PT
110026,Não,Masculino,36,Ensino superior incompleto,PMDB
110028,Não,Masculino,52,Ensino médio completo,PP
110029,Sim,Masculino,43,Ensino médio completo,PMDB
110030,Sim,Masculino,47,Ensino médio completo,PP
110032,Não,Masculino,27,Ensino superior completo,PT
110033,Não,Masculino,57,Ensino médio completo,PSDB
110034,Não,Masculino,37,Ensino médio completo,PP
110037,Não,Masculino,55,Ensino fundamental completo,PSD
110040,Não,Masculino,47,Ensino fundamental completo,PMDB
110045,Não,Masculino,48,Ensino médio completo,PMDB
110050,Não,Masculino,45,Ensino médio completo,PSDC
110060,Não,Masculino,59,Ensino médio incompleto,PMN
110070,Não,Masculino,50,Ensino superior completo,PV
110080,Sim,Masculino,47,Ensino superior incompleto,PV
110090,Não,Masculino,32,Ensino superior completo,PP
110092,Sim,Masculino,50,Ensino superior completo,PMDB
110094,Sim,Masculino,33,Ensino superior incompleto,PRTB
110100,Não,Feminino,43,Ensino fundamental completo,PMDB
110110,Sim,Masculino,53,Ensino médio completo,PMDB
110120,Sim,Masculino,41,Ensino médio incompleto,PTB
110130,Sim,Masculino,55,Ensino superior incompleto,PMDB
110140,Não,Masculino,24,Ensino superior incompleto,PP
110143,Não,Masculino,37,Ensino superior completo,PR
110145,Não,Masculino,40,Ensino médio completo,PMDB
110146,Não,Masculino,45,Pós-graduação,PSDB
110147,Não,Masculino,45,Ensino fundamental completo,PSDB
110148,Sim,Masculino,46,Ensino médio completo,PMDB
110149,Não,Feminino,25,Ensino superior completo,PP
110150,Não,Masculino,38,Ensino superior completo,PMDB
110155,Não,Masculino,55,Ensino fundamental completo,PP
110160,Sim,Masculino,48,Ensino médio completo,PDT
110170,Não,Masculino,36,Ensino médio completo,PDT
110175,Não,Masculino,50,Ensino fundamental completo,PMDB
110180,Não,Masculino,49,Ensino fundamental incompleto,PTN
120001,Não,Masculino,38,Ensino médio completo,DEM
120005,Não,Masculino,43,Pós-graduação,PSDB
120010,Não,Masculino,48,Ensino médio completo,PMDB
120013,Não,Masculino,53,Ensino superior completo,PT
120017,Não,Masculino,52,Ensino médio completo,PC do B
120020,Sim,Masculino,54,Ensino fundamental completo,PMDB
120025,Não,Masculino,35,Ensino superior completo,PSDB
120030,Não,Masculino,36,Pós-graduação,PT
120032,Não,Masculino,37,Ensino médio completo,PC do B
120033,Sim,Masculino,48,Pós-graduação,PMDB
120034,Não,Masculino,59,Ensino médio completo,DEM
120035,Não,Masculino,44,Ensino médio completo,PT
120038,Não,Masculino,48,Pós-graduação,PSB
120039,Não,Masculino,49,Ensino fundamental completo,PMDB
120040,Não,Masculino,36,Pós-graduação,PT
120042,Sim,Masculino,51,Ensino médio completo,PT
120043,Não,Masculino,38,Ensino fundamental completo,PSDB
120045,Não,Masculino,34,Ensino superior completo,PT
120050,Não,Masculino,36,Ensino médio completo,PR
120060,Não,Masculino,29,Pós-graduação,PT
120070,Não,Masculino,35,Ensino superior completo,PSDB
120080,Não,Masculino,35,Pós-graduação,PSDB
130002,Sim,Masculino,45,Ensino superior completo,PMDB
130006,Sim,Masculino,51,Ensino superior completo,PT
130008,Sim,Masculino,33,Ensino médio incompleto,PSD
130010,Sim,Feminino,35,Ensino superior incompleto,PSD
130014,Não,Masculino,42,Ensino médio completo,DEM
130020,Não,Masculino,45,Ensino fundamental completo,PDT
130030,Sim,Masculino,51,Ensino superior completo,PMDB
130040,Sim,Masculino,56,Ensino médio completo,PMDB
130050,Sim,Masculino,49,Ensino médio completo,PSD
130060,Não,Feminino,58,Ensino médio completo,PSD
130063,Não,Masculino,44,Ensino superior completo,PSD
130068,Não,Masculino,46,Ensino superior completo,PMDB
130070,Não,Masculino,49,Ensino superior completo,PSD
130080,Não,Masculino,56,Pós-graduação,PSD
130083,Não,Masculino,46,Ensino fundamental completo,PSD
130090,Sim,Masculino,44,Ensino fundamental completo,PP
130100,Sim,Masculino,63,Ensino médio completo,PSD
130110,Não,Masculino,43,Ensino superior completo,PMDB
130115,Não,Masculino,60,Ensino fundamental completo,PSD
130120,Sim,Masculino,51,Ensino fundamental incompleto,PRP
130130,Não,Masculino,49,Ensino superior completo,PT
130140,Não,Masculino,42,Ensino médio completo,PSD
130150,Não,Masculino,43,Ensino superior completo,PMDB
130160,Não,Masculino,55,Ensino médio completo,PSD
130165,Sim,Masculino,64,Pós-graduação,PMDB
130170,Sim,Masculino,50,Ensino superior completo,PMDB
130180,Não,Feminino,52,Ensino médio completo,PR
130185,Não,Masculino,39,Ensino médio completo,PTB
130190,Não,Masculino,68,Ensino superior completo,PSD
130195,Sim,Masculino,44,Ensino médio completo,PMDB
130200,Sim,Masculino,46,Ensino superior completo,PMDB
130210,Sim,Masculino,53,Ensino fundamental incompleto,PC do B
130220,Sim,Masculino,63,Ensino médio completo,PSD
130230,Não,Feminino,44,Ensino médio completo,PMDB
130240,Não,Masculino,49,Ensino médio completo,PMDB
130250,Não,Masculino,59,Ensino superior incompleto,PMDB
130255,Não,Masculino,49,Ensino fundamental incompleto,PRTB
130260,Não,Masculino,67,Pós-graduação,PSDB
130270,Sim,Masculino,49,Ensino superior completo,PSD
130280,Não,Masculino,62,Ensino fundamental incompleto,PMDB
130290,Não,Masculino,39,Pós-graduação,PT
130300,Não,Masculino,33,Ensino médio completo,PDT
130310,Não,Masculino,48,Ensino médio completo,PT
130320,Não,Feminino,57,Pós-graduação,PT
130330,Não,Masculino,58,Ensino médio completo,PV
130340,Não,Masculino,38,Ensino superior completo,PSD
130350,Não,Masculino,50,Ensino médio completo,PMDB
130353,Não,Masculino,51,Ensino superior completo,PSB
130356,Não,Masculino,46,Pós-graduação,PRP
130360,Não,Masculino,65,Ensino superior completo,PDT
130370,Não,Masculino,46,Ensino fundamental incompleto,PMDB
130380,Não,Masculino,48,Ensino médio completo,PC do B
130390,Sim,Masculino,57,Ensino fundamental completo,PSD
130395,Não,Masculino,65,Pós-graduação,PSD
130400,Não,Masculino,55,Ensino médio completo,PSD
130406,Não,Masculino,52,Ensino fundamental incompleto,PDT
130410,Não,Masculino,53,Ensino médio completo,PSD
130420,Não,Masculino,48,Ensino médio completo,PSDB
130423,Sim,Masculino,45,Ensino médio completo,PSD
130426,Não,Masculino,38,Ensino médio completo,PMDB
130430,Não,Masculino,53,Ensino médio completo,PSD
130440,Não,Masculino,49,Ensino médio completo,PR
140002,Não,Masculino,44,Pós-graduação,PR
140005,Não,Masculino,39,Ensino superior completo,PT
140010,Não,Feminino,56,Ensino superior completo,PMDB
140015,Não,Feminino,48,Ensino médio completo,PR
140017,Não,Feminino,42,Ensino fundamental completo,PMDB
140020,Não,Masculino,33,Ensino superior completo,PSC
140023,Sim,Masculino,39,Ensino fundamental completo,PSDB
140028,Sim,Masculino,38,Ensino superior completo,PR
140030,Não,Masculino,48,Ensino superior completo,PSL
140040,Não,Masculino,43,Pós-graduação,PSDB
140045,Sim,Masculino,60,Ensino médio completo,PSDB
140047,Não,Masculino,45,Ensino superior incompleto,PP
140050,Não,Masculino,34,Ensino superior incompleto,PSDB
140060,Não,Masculino,51,Ensino médio completo,PP
140070,Sim,Masculino,29,Ensino superior completo,PT
150010,Sim,Feminino,44,Pós-graduação,PSDB
150013,Não,Masculino,39,Ensino médio completo,PSDB
150020,Não,Masculino,41,Ensino superior completo,PMDB
150030,Não,Masculino,63,Ensino superior completo,PP
150034,Não,Masculino,33,Ensino médio completo,Outra situação
150040,Não,Masculino,63,Ensino superior completo,PR
150050,Sim,Masculino,59,Pós-graduação,PT
150060,Não,Masculino,71,Pós-graduação,PMDB
150070,Não,Masculino,54,Ensino fundamental completo,PP
150080,Não,Masculino,Ignorada,Ensino superior completo,PSDB
150085,Não,Masculino,43,Ensino médio completo,PSDB
150090,Não,Feminino,48,Ensino médio completo,PT
150095,Não,Masculino,58,Ensino fundamental incompleto,DEM
150100,Não,Masculino,51,Ensino fundamental completo,PSC
150110,Sim,Masculino,35,Ensino superior completo,PSD
150120,Sim,Masculino,51,Ensino superior completo,PT
150125,Sim,Masculino,34,Ensino médio completo,PSB
150130,Não,Masculino,59,Ensino fundamental completo,PSC
150140,Não,Masculino,52,Ensino superior completo,PSDB
150145,Não,Feminino,40,Pós-graduação,PT
150150,Não,Masculino,32,Ensino superior completo,PMDB
150157,Sim,Masculino,43,Pós-graduação,PT
150160,Não,Masculino,44,Ensino médio completo,PR
150170,Não,Masculino,38,Ensino superior incompleto,PT
150172,Não,Feminino,39,Ensino médio completo,PSB
150175,Não,Masculino,28,Ensino superior completo,DEM
150178,Não,Masculino,39,Ensino superior completo,PSDB
150180,Sim,Masculino,49,Ensino médio completo,PMDB
150190,Sim,Masculino,54,Ensino fundamental incompleto,PT
150195,Não,Feminino,46,Ensino médio completo,PMDB
150200,Não,Masculino,44,Ensino médio incompleto,PSD
150210,Não,Masculino,46,Ensino superior incompleto,PT
150215,Não,Masculino,51,Ensino médio completo,PMDB
150220,Sim,Masculino,46,Ensino médio completo,PR
150230,Sim,Feminino,31,Ensino superior incompleto,PP
150240,Não,Masculino,70,Ensino superior completo,PMDB
150250,Não,Feminino,48,Ensino superior completo,PMDB
150260,Não,Masculino,30,Pós-graduação,PSD
150270,Não,Masculino,56,Ensino médio completo,PT
150275,Não,Masculino,55,Ensino médio incompleto,PSDB
150276,Não,Feminino,61,Ensino superior completo,PMDB
150277,Sim,Masculino,38,Ensino superior incompleto,PMDB
150280,Não,Masculino,44,Ensino médio completo,PT
150285,Não,Feminino,31,Pós-graduação,PSDB
150290,Não,Feminino,40,Ensino superior completo,PSDB
150293,Sim,Masculino,50,Ensino fundamental completo,PMDB
150295,Não,Masculino,54,Ensino médio completo,PPS
150300,Não,Feminino,38,Ensino superior completo,PMDB
150304,Sim,Masculino,49,Ensino fundamental completo,PSC
150307,Sim,Masculino,57,Ensino fundamental completo,PMDB
150309,Não,Masculino,60,Ensino médio completo,PP
150310,Não,Masculino,54,Ensino superior incompleto,PT
150320,Sim,Feminino,44,Ensino superior completo,PR
150330,Não,Masculino,40,Ensino fundamental incompleto,DEM
150340,Não,Masculino,64,Ensino médio completo,PR
150345,Não,Masculino,53,Ensino médio completo,PT
150350,Não,Masculino,36,Ensino superior completo,PSDB
150360,Não,Feminino,43,Pós-graduação,PSD
150370,Sim,Masculino,62,Ensino superior completo,PT
150375,Sim,Masculino,51,Ensino médio completo,PT
150380,Sim,Masculino,54,Ensino médio completo,PT
150390,Não,Masculino,51,Ensino superior completo,PSD
150400,Não,Masculino,50,Ensino superior completo,PSD
150405,Não,Masculino,41,Ensino médio completo,PT
150410,Não,Masculino,47,Ensino superior completo,PSDB
150420,Não,Masculino,51,Ensino superior completo,PPS
150430,Não,Feminino,58,Pós-graduação,PSDB
150440,Sim,Masculino,61,Ensino médio completo,PMDB
150442,Não,Feminino,45,Ensino superior completo,PMDB
150445,Não,Masculino,50,Ensino fundamental completo,PT
150450,Sim,Masculino,50,Ensino fundamental incompleto,PP
150460,Sim,Masculino,48,Ensino superior completo,PR
150470,Não,Masculino,49,Ensino superior completo,PSDB
150475,Não,Masculino,45,Ensino médio completo,PSDB
