estado,leite,ovos,mel
Rondônia,790947,17204,89981
Acre,56870,4647,4752
Amazonas,45978,51313,33310
Roraima,13141,4572,142800
Pará,577522,32596,523999
Amapá,5983,56,11379
Tocantins,385563,20749,99313
Maranhão,371250,11060,1710718
Piauí,73518,20631,3048800
Ceará,528138,161557,1149390
Rio Grande do Norte,227747,44738,203967
Paraíba,178437,35135,156563
Pernambuco,839029,214930,372100
Alagoas,337974,37651,101552
Sergipe,357882,23387,68489
Bahia,858408,74728,3579469
Minas Gerais,8970779,365023,4906589
Espírito Santo,371375,274360,544853
Rio de Janeiro,511865,10713,353552
São Paulo,1692068,1020540,3642739
Paraná,4730195,375526,5992965
Santa Catarina,3113769,229460,4868268
Rio Grande do Sul,4613780,326172,6283676
Mato Grosso do Sul,346300,45655,835328
Mato Grosso,662720,193650,413862
Goiás,2933441,199464,432722
Distrito Federal,29972,20252,17660
