mun,nome_mun,uf,nome_uf,rm,meso,nome_meso,micro,nome_micro,codmun6,regiao,nome_regiao,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,cod_rgi,nome_rgi,cod_rgint,nome_rgint
3100104,Abadia dos Dourados,31,Minas Gerais,,3105,Triângulo Mineiro/Alto Paranaíba,31019,Patrocínio,310010,3,Sudeste,0,0,9400,0,833,46000,1800,0,0,0,6981,4100,3030,0,50000,0,310061,Monte Carmelo,3111,Uberlândia
3100203,Abaeté,31,Minas Gerais,,3106,Central Mineira,31024,Três Marias,310020,3,Sudeste,0,0,7000,0,0,50000,0,0,0,5000,3900,3600,0,0,0,0,310070,Abaeté,3113,Divinópolis
3100302,Abre Campo,31,Minas Gerais,,3112,Zona da Mata,31061,Manhuaçu,310030,3,Sudeste,0,0,5000,0,960,30000,301,0,0,0,2000,0,0,0,0,0,310028,Manhuaçu,3106,Juíz de Fora
3100401,Acaiaca,31,Minas Gerais,,3112,Zona da Mata,31060,Ponte Nova,310040,3,Sudeste,0,0,7000,0,750,31905,569,7000,0,0,2196,0,0,0,0,0,310030,Ponte Nova,3106,Juíz de Fora
3100500,Açucena,31,Minas Gerais,RM Vale do Aço,3108,Vale do Rio Doce,31039,Ipatinga,310050,3,Sudeste,0,0,8500,0,769,30000,503,0,0,0,4958,0,0,0,0,0,310024,Ipatinga,3105,Ipatinga
3100609,Água Boa,31,Minas Gerais,,3108,Vale do Rio Doce,31036,Peçanha,310060,3,Sudeste,0,0,8896,0,1108,42000,634,8625,5000,0,2600,0,0,8000,66200,0,310014,Capelinha,3103,Teófilo Otoni
3100708,Água Comprida,31,Minas Gerais,,3105,Triângulo Mineiro/Alto Paranaíba,31022,Uberaba,310070,3,Sudeste,0,0,0,0,0,68000,0,0,0,0,7235,3060,4300,0,0,0,310055,Uberaba,3110,Uberaba
3100807,Aguanil,31,Minas Gerais,,3109,Oeste de Minas,31045,Campo Belo,310080,3,Sudeste,0,0,11000,0,1847,40000,940,24000,0,7500,6000,0,0,10000,50000,0,310048,Campo Belo,3108,Varginha
3100906,Águas Formosas,31,Minas Gerais,,3104,Vale do Mucuri,31016,Nanuque,310090,3,Sudeste,0,0,9000,0,0,30000,600,0,0,0,1050,0,0,0,0,0,310019,Águas Formosas,3103,Teófilo Otoni
3101003,Águas Vermelhas,31,Minas Gerais,,3102,Norte de Minas,31005,Salinas,310100,3,Sudeste,0,0,17672,0,2597,37500,459,3000,0,0,710,0,0,5000,0,0,310018,Pedra Azul,3103,Teófilo Otoni
3101102,Aimorés,31,Minas Gerais,,3108,Vale do Rio Doce,31041,Aimorés,310110,3,Sudeste,0,0,10000,0,1230,52000,1452,13000,15000,8000,3000,0,0,14000,54000,0,310023,Aimorés - Resplendor,3104,Governador Valadares
3101201,Aiuruoca,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31055,Andrelândia,310120,3,Sudeste,0,0,0,0,1500,40000,1811,0,0,0,6800,2600,0,0,0,0,310054,Caxambu - Baependi,3109,Pouso Alegre
3101300,Alagoa,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31054,São Lourenço,310130,3,Sudeste,0,0,0,0,0,0,800,0,0,0,2500,0,0,0,0,0,310053,São Lourenço,3109,Pouso Alegre
3101409,Albertina,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31051,Poços de Caldas,310140,3,Sudeste,0,0,0,0,1826,0,0,0,0,0,3500,0,0,0,0,0,310050,Pouso Alegre,3109,Pouso Alegre
3101508,Além Paraíba,31,Minas Gerais,,3112,Zona da Mata,31066,Cataguases,310150,3,Sudeste,0,0,10000,0,0,30000,1029,0,0,0,6000,0,0,0,0,0,310036,Além Paraíba,3106,Juíz de Fora
3101607,Alfenas,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31049,Alfenas,310160,3,Sudeste,0,0,20000,25000,1680,88000,1073,20000,30000,0,6805,3180,0,30000,50000,0,310042,Alfenas,3108,Varginha
3101631,Alfredo Vasconcelos,31,Minas Gerais,,3111,Campo das Vertentes,31059,Barbacena,310163,3,Sudeste,0,0,0,28000,0,0,686,0,0,13000,3600,0,0,0,51000,0,310037,Barbacena,3107,Barbacena
3101706,Almenara,31,Minas Gerais,,3103,Jequitinhonha,31014,Almenara,310170,3,Sudeste,0,0,8000,0,1000,30000,685,8000,0,9000,1200,0,0,0,0,0,310015,Almenara,3103,Teófilo Otoni
3101805,Alpercata,31,Minas Gerais,,3108,Vale do Rio Doce,31037,Governador Valadares,310180,3,Sudeste,0,0,5000,0,0,31200,1000,15000,0,0,8659,0,0,0,60000,0,310020,Governador Valadares,3104,Governador Valadares
3101904,Alpinópolis,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31047,Passos,310190,3,Sudeste,0,0,0,0,2056,80000,1488,0,0,0,6500,4401,3655,0,60000,0,310041,Passos,3108,Varginha
3102001,Alterosa,31,Minas Gerais,,3110,Sul/Sudoeste de Minas,31049,Alfenas,310200,3,Sudeste,0,0,0,0,1800,75000,1178,30600,0,0,6600,3000,0,0,0,0,310042,Alfenas,3108,Varginha
3102050,Alto Caparaó,31,Minas Gerais,,3112,Zona da Mata,31061,Manhuaçu,310205,3,Sudeste,0,0,5000,0,1366,30000,429,0,0,0,1900,0,0,0,0,0,310028,Manhuaçu,3106,Juíz de Fora
3102100,Alto Rio Doce,31,Minas Gerais,,3112,Zona da Mata,31062,Viçosa,310210,3,Sudeste,0,0,0,0,0,30000,550,0,0,0,2100,0,0,0,0,0,310037,Barbacena,3107,Barbacena
3102209,Alvarenga,31,Minas Gerais,,3108,Vale do Rio Doce,31041,Aimorés,310220,3,Sudeste,0,0,3000,0,634,24706,725,13000,0,0,1313,0,0,0,0,0,310025,Caratinga,3105,Ipatinga
