ibge7,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
1100015,Alta Floresta D'Oeste,Leste Rondoniense,0,0,1859,0,0,1085,2044,0,0,0,15667,1350,0,0,0,0,9024,271,1700
1100023,Ariquemes,Leste Rondoniense,0,0,3564,0,0,690,9,10,15,0,3330,10959,0,0,0,0,14497,445,1000
1100031,Cabixi,Leste Rondoniense,0,0,140,0,0,0,0,12,15,0,81690,70320,0,60,90,0,8311,151,680
1100049,Cacoal,Leste Rondoniense,0,0,5220,0,0,1320,788,0,157,0,3616,1710,0,170,90,0,21814,1645,8500
1100056,Cerejeiras,Leste Rondoniense,0,0,180,0,0,56000,40,0,0,0,105760,98000,0,0,900,0,4772,93,4400
1100064,Colorado do Oeste,Leste Rondoniense,0,0,720,0,0,2500,4,20,45,0,11400,10888,0,30,192,0,12352,245,3430
1100072,Corumbiara,Leste Rondoniense,0,0,160,0,0,350,30,32,18,0,144360,125500,0,0,35,0,16903,169,920
1100080,Costa Marques,Madeira-Guaporé,0,0,150,0,0,756,4,80,0,0,20,0,0,0,0,0,7821,138,80
1100098,Espigão D'Oeste,Leste Rondoniense,0,0,538,0,0,8000,126,2500,150,0,5482,3240,0,8,700,0,21750,318,4000
1100106,Guajará-Mirim,Madeira-Guaporé,0,0,240,0,0,560,7,16,30,0,103,0,0,0,0,0,2774,49,140
1100114,Jaru,Leste Rondoniense,0,0,6738,0,0,845,336,5,48,0,578,0,0,3,0,0,59802,382,1260
1100122,Ji-Paraná,Leste Rondoniense,0,0,820,0,0,100,0,18,110,0,1080,0,0,0,306,0,29335,344,300
1100130,Machadinho D'Oeste,Leste Rondoniense,0,0,3502,0,0,1640,36,144,10,0,2088,17788,0,0,20,0,54545,335,600
1100148,Nova Brasilândia D'Oeste,Leste Rondoniense,0,0,465,0,0,0,0,270,0,0,552,0,0,0,0,0,15926,232,4630
1100155,Ouro Preto do Oeste,Leste Rondoniense,0,0,225,0,0,2200,0,120,15,0,200,0,0,0,48,0,54915,247,300
1100189,Pimenta Bueno,Leste Rondoniense,0,0,723,0,0,6500,50,75,15,0,853,3680,0,33,200,0,11249,572,2700
1100205,Porto Velho,Madeira-Guaporé,0,0,8091,0,0,1440,288,276,250,0,57963,30880,0,185,77,0,41797,1859,4330
1100254,Presidente Médici,Leste Rondoniense,0,0,929,0,0,600,30,314,528,0,630,0,0,0,0,0,30934,681,200
1100262,Rio Crespo,Leste Rondoniense,0,0,1250,0,0,0,7,0,0,0,8575,39533,0,0,0,0,2974,48,1050
1100288,Rolim de Moura,Leste Rondoniense,0,0,743,0,0,1000,30,1200,12,0,2289,14894,0,0,50,0,15237,981,7000
1100296,Santa Luzia D'Oeste,Leste Rondoniense,0,0,93,0,0,133200,62,45,0,0,960,1920,0,0,40,0,12452,118,780
1100304,Vilhena,Leste Rondoniense,0,0,175,0,0,0,330,16,14,0,275460,188100,0,10,1000,0,4127,9345,7000
1100320,São Miguel do Guaporé,Leste Rondoniense,0,0,278,0,0,0,0,83,11,0,15132,27000,0,0,0,0,18963,280,683
1100338,Nova Mamoré,Madeira-Guaporé,0,0,2768,0,0,580,24,48,68,0,1665,690,0,0,0,0,59567,362,690
1100346,Alvorada D'Oeste,Leste Rondoniense,0,0,406,0,0,1085,150,0,0,0,360,3036,0,0,0,0,21453,157,1289
1100379,Alto Alegre dos Parecis,Leste Rondoniense,0,0,244,0,0,280,10733,375,26,0,20520,10135,0,63,680,0,6623,171,3500
1100403,Alto Paraíso,Leste Rondoniense,0,0,1140,0,0,0,12,45,15,0,1484,21882,0,0,4,0,8607,124,400
1100452,Buritis,Madeira-Guaporé,0,0,14625,0,0,0,251,144,73,0,433,0,0,0,0,0,37276,339,200
1100502,Novo Horizonte do Oeste,Leste Rondoniense,0,0,575,0,0,300,144,0,0,0,559,0,0,0,0,0,9451,162,2800
1100601,Cacaulândia,Leste Rondoniense,0,0,1674,0,0,0,2,0,0,0,54,0,0,0,0,0,10741,113,983
1100700,Campo Novo de Rondônia,Madeira-Guaporé,0,0,2860,0,0,375,7,5,0,0,288,0,0,0,0,0,39867,177,299
1100809,Candeias do Jamari,Madeira-Guaporé,0,0,1272,0,0,1950,12,160,180,0,2160,13500,0,0,0,0,12692,151,0
1100908,Castanheiras,Leste Rondoniense,0,0,306,0,0,847,7,0,0,0,3675,6300,0,0,0,0,5783,74,980
1100924,Chupinguaia,Leste Rondoniense,0,0,315,0,0,0,23,32,0,0,60216,85800,0,0,0,0,6710,122,320
1100940,Cujubim,Madeira-Guaporé,0,0,660,0,0,0,2,10,0,0,2498,17985,0,0,0,0,15499,180,560
1101005,Governador Jorge Teixeira,Leste Rondoniense,0,0,3000,0,0,2040,72,52,0,0,1053,0,0,0,20,0,46913,211,220
1101104,Itapuã do Oeste,Madeira-Guaporé,0,0,132,0,0,175,6,16,0,0,2175,6696,0,0,0,0,3742,85,1330
1101203,Ministro Andreazza,Leste Rondoniense,0,0,1209,0,0,0,118,210,296,0,1050,0,0,41,0,0,10081,415,600
1101302,Mirante da Serra,Leste Rondoniense,0,0,440,0,0,975,560,32,0,0,4875,0,0,0,29,0,22948,157,2200
1101401,Monte Negro,Leste Rondoniense,0,0,1600,0,0,50,2,10,10,0,45,0,0,0,2,0,18610,218,70
1101435,Nova União,Leste Rondoniense,0,0,696,0,0,450,40,0,0,0,1470,0,0,0,10,0,22067,36,1200
1101450,Parecis,Leste Rondoniense,0,0,186,0,0,100,36,20,0,0,1350,3540,0,0,70,0,8840,108,300
1101468,Pimenteiras do Oeste,Leste Rondoniense,0,0,119,0,0,0,0,40,0,0,76807,79200,0,0,0,0,1669,37,1800
1101476,Primavera de Rondônia,Leste Rondoniense,0,0,384,0,0,2640,31,13,1,0,264,0,0,2,70,0,4256,321,410
1101484,São Felipe D'Oeste,Leste Rondoniense,0,0,1151,0,0,3900,27,60,10,0,2580,1276,0,0,100,0,8025,111,1500
1101492,São Francisco do Guaporé,Madeira-Guaporé,0,0,497,0,0,0,0,0,1,0,1000,2100,0,0,0,0,32444,230,150
1101500,Seringueiras,Leste Rondoniense,0,0,171,0,0,0,0,0,64,0,2760,9000,0,0,0,0,17402,173,915
1101559,Teixeirópolis,Leste Rondoniense,0,0,482,0,0,250,0,0,0,0,285,0,0,0,80,0,15615,90,0
1101609,Theobroma,Leste Rondoniense,0,0,1200,0,0,0,43,0,0,0,4834,1650,0,0,0,0,35055,176,1895
1101708,Urupá,Leste Rondoniense,0,0,426,0,0,230,0,0,5,0,529,0,0,0,11,0,34247,293,160
1101757,Vale do Anari,Leste Rondoniense,0,0,765,0,0,1498,13,6,56,0,999,150,0,2,9,0,18240,150,480
1101807,Vale do Paraíso,Leste Rondoniense,0,0,362,0,0,225,5,8,0,0,180,0,0,0,35,0,23902,140,213
1200013,Acrelândia,Vale do Acre,0,0,21000,0,0,560,208,1050,640,0,3120,0,0,182,0,0,6182,121,11
1200054,Assis Brasil,Vale do Acre,0,0,3335,0,0,672,196,75,51,0,1200,0,0,28,0,0,439,65,0
1200104,Brasiléia,Vale do Acre,0,0,2090,0,0,450,301,154,112,0,4595,0,0,75,0,0,3466,142,0
1200138,Bujari,Vale do Acre,0,0,3460,0,0,1960,145,448,765,0,4000,0,0,104,0,0,1149,69,1500
1200179,Capixaba,Vale do Acre,0,0,3603,0,0,1450,95,280,240,0,8058,81,0,65,0,0,3198,113,200
1200203,Cruzeiro do Sul,Vale do Juruá,0,0,2400,0,0,1500,293,256,64,0,1715,0,0,128,0,0,962,618,345
1200252,Epitaciolândia,Vale do Acre,0,0,3335,0,0,420,132,96,80,0,4610,0,0,45,0,0,3405,118,720
1200302,Feijó,Vale do Juruá,0,0,9450,0,0,440,161,360,182,0,6290,0,0,120,0,0,2187,108,0
1200328,Jordão,Vale do Juruá,0,0,1455,0,0,675,18,46,47,0,935,0,0,72,0,0,104,17,0
1200336,Mâncio Lima,Vale do Juruá,0,0,850,0,0,660,312,80,105,0,880,0,0,74,0,0,287,131,106
1200344,Manoel Urbano,Vale do Acre,0,0,3204,0,0,450,104,126,256,0,1360,0,0,70,0,0,427,32,0
