ibge7,mun,mun,nome_meso,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3100104,Abadia dos Dourados,Abadia dos Dourados,Triângulo Mineiro/Alto Paranaíba,0,0,47,0,30,460,18,0,0,0,8028,11685,1212,0,100,0,43745,128,0
3100203,Abaeté,Abaeté,Central Mineira,0,0,28,0,0,9000,0,0,0,15,4680,1404,0,0,0,0,50383,218,1550
3100302,Abre Campo,Abre Campo,Zona da Mata,0,0,50,0,3140,9000,170,0,0,0,780,0,0,0,0,0,7100,103,1074
3100401,Acaiaca,Acaiaca,Zona da Mata,0,0,56,0,3,1340,33,7,0,0,202,0,0,0,0,0,1385,23,2500
3100500,Açucena,Açucena,Vale do Rio Doce,0,0,170,0,10,3000,74,0,0,0,942,0,0,0,0,0,9061,57,266
3100609,Água Boa,Água Boa,Vale do Rio Doce,0,0,427,0,1740,6174,431,69,5,0,2912,0,0,8,1324,0,16820,147,2000
3100708,Água Comprida,Água Comprida,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,1190000,0,0,0,0,24600,27540,25800,0,0,0,2642,12,0
3100807,Aguanil,Aguanil,Oeste de Minas,0,0,132,0,1801,10920,141,240,0,15,13500,0,0,50,100,0,7008,87,0
3100906,Águas Formosas,Águas Formosas,Vale do Mucuri,0,0,27,0,0,1080,12,0,0,0,21,0,0,0,0,0,8972,26,0
3101003,Águas Vermelhas,Águas Vermelhas,Norte de Minas,0,0,1131,0,1200,75,140,6,0,0,206,0,0,5,0,0,379,49,600
3101102,Aimorés,Aimorés,Vale do Rio Doce,0,0,500,0,963,2080,305,325,150,336,4050,0,0,84,3510,0,22265,92,2850
3101201,Aiuruoca,Aiuruoca,Sul/Sudoeste de Minas,0,0,0,0,15,2400,268,0,0,0,5848,416,0,0,0,0,27169,39,6400
3101300,Alagoa,Alagoa,Sul/Sudoeste de Minas,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,10386,14,1940
3101409,Albertina,Albertina,Sul/Sudoeste de Minas,0,0,0,0,2556,0,0,0,0,0,91,0,0,0,0,0,280,4,0
3101508,Além Paraíba,Além Paraíba,Zona da Mata,0,0,100,0,0,30,36,0,0,0,288,0,0,0,0,0,7663,80,4005
3101607,Alfenas,Alfenas,Sul/Sudoeste de Minas,0,0,2680,7500,14566,114400,5470,600,360,0,55800,16854,0,300,1750,0,15010,88,210
3101631,Alfredo Vasconcelos,Alfredo Vasconcelos,Campo das Vertentes,0,0,0,28,0,0,48,0,0,26,540,0,0,0,1530,0,3200,6,1275
3101706,Almenara,Almenara,Jequitinhonha,0,0,160,0,440,3600,137,8,0,9,336,0,0,0,0,0,6209,48,580
3101805,Alpercata,Alpercata,Vale do Rio Doce,0,0,15,0,0,936,1,30,0,0,2390,0,0,0,60,0,4515,4,0
3101904,Alpinópolis,Alpinópolis,Sul/Sudoeste de Minas,0,0,0,0,7710,144000,610,0,0,0,13000,8428,1060,0,60,0,44480,44,12380
3102001,Alterosa,Alterosa,Sul/Sudoeste de Minas,0,0,0,0,6867,27525,530,1836,0,0,15180,2400,0,0,0,0,7900,82,12300
3102050,Alto Caparaó,Alto Caparaó,Zona da Mata,0,0,15,0,3880,30,15,0,0,0,133,0,0,0,0,0,472,10,0
3102100,Alto Rio Doce,Alto Rio Doce,Zona da Mata,0,0,0,0,0,15000,330,0,0,0,1680,0,0,0,0,0,12684,202,3824
3102209,Alvarenga,Alvarenga,Vale do Rio Doce,0,0,30,0,520,420,29,26,0,0,42,0,0,0,0,0,4432,55,0
3102308,Alvinópolis,Alvinópolis,Metropolitana de Belo Horizonte,0,0,33,0,3,5680,96,0,0,0,1224,0,0,0,0,0,13011,85,88800
3102407,Alvorada de Minas,Alvorada de Minas,Metropolitana de Belo Horizonte,0,0,48,0,5,420,10,0,0,0,189,0,0,0,0,0,8372,34,450
3102506,Amparo do Serra,Amparo do Serra,Zona da Mata,0,0,60,0,196,3920,84,0,0,0,1076,0,0,0,280,0,1916,40,1820
3102605,Andradas,Andradas,Sul/Sudoeste de Minas,0,0,5535,2530,9950,1020,10,0,0,0,4795,92,0,26,2500,300,9452,86,950
3102704,Cachoeira de Pajeú,Cachoeira de Pajeú,Jequitinhonha,0,0,42,0,5,2400,94,14,0,9,100,0,0,0,0,0,1256,43,0
3102803,Andrelândia,Andrelândia,Sul/Sudoeste de Minas,0,0,0,0,420,4670,1628,2390,0,0,12090,4560,0,0,0,3845,29240,45,52900
3102852,Angelândia,Angelândia,Jequitinhonha,0,0,104,0,2812,800,123,30,0,0,628,0,0,0,50,0,1234,50,2522
3102902,Antônio Carlos,Antônio Carlos,Campo das Vertentes,0,0,0,200,0,200,136,13,0,0,2250,0,0,0,1296,0,13817,29,12400
3103009,Antônio Dias,Antônio Dias,Vale do Rio Doce,0,0,62,0,1,630,9,0,0,0,54,0,0,0,40,0,3603,32,38300
3103108,Antônio Prado de Minas,Antônio Prado de Minas,Zona da Mata,0,0,11,0,70,385,5,0,0,0,105,0,0,0,0,0,3112,33,0
3103207,Araçaí,Araçaí,Metropolitana de Belo Horizonte,0,0,100,0,0,0,2,0,145,0,84,0,0,0,0,0,2044,16,0
