ibge7,mun,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata_doce,batata_inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
1100015,Alta Floresta D'Oeste,0,24,0,2,432,0,2552,0,0,66702,0,47,8517,0,0,0,10340,1350,0,0,0,0
1100023,Ariquemes,0,450,0,0,2098,0,8197,0,0,5,0,48,39,0,9,200,2531,11324,0,0,0,0
1100031,Cabixi,0,541,0,288,6208,0,287,0,0,4,0,0,0,0,10,0,24528,72641,0,197,0,0
1100049,Cacoal,0,675,0,0,79,0,9135,0,0,145697,0,83,4991,0,0,0,2400,1710,0,246,0,0
1100056,Cerejeiras,0,340,0,0,2640,0,358,0,0,196,0,9296,167,0,0,0,31755,101234,0,1936,0,0
1100064,Colorado do Oeste,0,155,0,0,202,0,1431,0,0,57,0,338,17,0,19,115,3520,11247,0,412,0,0
1100072,Corumbiara,0,214,0,13,5760,0,325,0,0,67,0,47,125,0,30,0,43368,128644,0,75,0,0
1100080,Costa Marques,0,56,0,0,0,0,255,0,0,82,0,157,16,0,68,0,16,0,0,0,0,0
1100098,Espigão D'Oeste,0,44,0,4,75,0,847,0,0,15238,0,1600,798,0,2000,150,3537,3240,0,1400,0,0
1100106,Guajará-Mirim,0,225,0,4,9,0,240,0,0,90,0,112,18,0,13,70,72,0,0,0,0,0
1100114,Jaru,0,0,0,0,9,0,15026,0,0,2058,0,169,1008,0,4,40,251,0,0,0,0,0
1100122,Ji-Paraná,0,35,0,0,0,0,1394,0,0,4950,0,20,0,0,14,52,823,0,0,612,0,0
1100130,Machadinho D'Oeste,0,938,0,8,2775,0,7704,0,0,26680,0,328,90,0,115,150,1004,17788,0,40,0,0
1100148,Nova Brasilândia D'Oeste,0,338,0,0,5,0,699,0,0,50594,0,0,0,0,216,750,331,0,0,0,0,0
1100155,Ouro Preto do Oeste,0,63,0,0,4,0,338,0,0,779,0,440,0,0,96,1060,144,0,0,108,0,0
1100189,Pimenta Bueno,0,743,0,0,76,0,1151,0,0,481,0,1300,300,0,60,30,539,3312,0,400,0,334
1100205,Porto Velho,0,2846,0,20,12527,0,8900,0,0,30310,0,288,1013,0,221,666,25741,38600,0,154,0,0
1100254,Presidente Médici,0,256,0,60,6,0,1579,0,0,640,0,120,90,0,251,1492,431,0,0,0,0,236
1100262,Rio Crespo,0,938,0,0,3750,0,3125,0,0,944,0,0,15,0,0,0,3773,39533,0,0,0,0
1100288,Rolim de Moura,0,656,0,8,417,0,1178,0,0,17570,0,200,180,0,960,250,1614,18866,0,159,0,0
1100296,Santa Luzia D'Oeste,0,14,0,0,53,0,139,0,0,2239,0,26640,331,0,36,0,576,1776,0,90,0,31
1100304,Vilhena,0,2863,0,0,240,0,355,0,0,37,0,0,1375,0,13,0,82648,194307,0,2000,0,0
1100320,São Miguel do Guaporé,0,198,0,12,4093,0,417,0,0,180059,0,0,0,0,66,1400,10550,29070,0,0,0,0
1100338,Nova Mamoré,0,469,0,16,1425,0,2768,0,0,5939,0,116,68,0,38,106,763,1006,0,0,0,0
1100346,Alvorada D'Oeste,0,73,0,3,147,0,690,0,0,9520,0,76,450,0,0,240,239,3269,0,0,0,0
1100379,Alto Alegre dos Parecis,0,270,0,5,435,0,382,0,0,57736,0,20,66187,0,300,0,16007,10371,0,1853,0,0
1100403,Alto Paraíso,0,1920,0,0,4172,0,2451,0,0,6613,0,0,80,0,36,320,1128,23341,0,9,0,0
1100452,Buritis,0,289,0,22,21,0,26325,0,0,51413,0,0,1464,0,122,0,260,0,0,0,0,84
1100502,Novo Horizonte do Oeste,0,153,0,0,92,0,869,0,0,22743,0,60,864,0,0,540,395,0,0,0,0,0
