ibge7,mun,nome_meso,abacate,abacaxi,alho,amendoim,arroz,aveia,banana,batata-doce,batata-inglesa,cafe_total,cafe_arab,cana,feijao,girassol,laranja,maracuja,milho,soja,sorgo,tomate,trigo,uva
3100104,Abadia dos Dourados,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,2,0,47,0,0,30,30,460,18,0,0,0,8028,11685,1212,100,0,0
3100203,Abaeté,Central Mineira,0,540,0,0,8,0,28,0,0,0,0,9000,0,0,0,63,4680,1404,0,0,0,0
3100302,Abre Campo,Zona da Mata,0,0,0,0,0,0,50,0,0,3140,3140,9000,170,0,0,0,780,0,0,0,0,0
3100401,Acaiaca,Zona da Mata,0,0,0,2,0,0,56,0,0,3,3,1340,33,0,7,0,202,0,0,0,0,0
3100500,Açucena,Vale do Rio Doce,0,0,3,6,1,0,170,0,0,10,10,3000,74,0,0,0,942,0,0,0,0,0
3100609,Água Boa,Vale do Rio Doce,0,0,0,4,5,0,427,3,0,2150,1740,6174,431,0,69,5,2912,0,0,1324,0,0
3100708,Água Comprida,Triângulo Mineiro/Alto Paranaíba,0,0,0,0,0,0,0,0,0,0,0,1190000,0,0,0,0,24600,27540,25800,0,0,0
3100807,Aguanil,Oeste de Minas,0,0,0,0,0,0,132,0,0,1801,1801,10920,141,0,240,0,13500,0,0,100,0,0
3100906,Águas Formosas,Vale do Mucuri,0,0,0,0,2,0,27,0,0,0,0,1080,12,0,0,0,21,0,0,0,0,0
3101003,Águas Vermelhas,Norte de Minas,0,0,0,0,0,0,1131,0,0,1211,1200,75,140,0,6,0,206,0,0,0,0,0
3101102,Aimorés,Vale do Rio Doce,108,0,0,0,708,0,500,60,0,2480,963,2080,305,0,325,250,4050,0,0,3510,0,0
3101201,Aiuruoca,Sul/Sudoeste de Minas,0,0,0,0,2,0,0,0,0,15,15,2400,268,0,0,0,5848,416,0,0,0,0
3101300,Alagoa,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0
3101409,Albertina,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,2556,2556,0,0,0,0,0,91,0,0,0,0,0
3101508,Além Paraíba,Zona da Mata,0,0,0,0,0,0,100,0,0,0,0,30,36,0,0,0,288,0,0,0,0,0
3101607,Alfenas,Sul/Sudoeste de Minas,0,0,24,0,0,930,2680,300,7500,14566,14566,114400,5470,0,600,255,55800,16854,0,1750,0,0
3101631,Alfredo Vasconcelos,Campo das Vertentes,3,0,0,0,0,0,0,0,28,0,0,0,48,0,0,16,540,0,0,1530,0,0
3101706,Almenara,Jequitinhonha,0,0,0,0,0,0,160,0,0,440,440,3600,137,0,8,0,336,0,0,0,0,0
3101805,Alpercata,Vale do Rio Doce,0,0,0,0,0,0,15,20,0,0,0,936,1,0,30,0,2390,0,0,60,0,0
3101904,Alpinópolis,Sul/Sudoeste de Minas,0,0,0,0,2,0,0,0,0,7710,7710,144000,610,0,0,19,13000,8428,1060,60,0,23
3102001,Alterosa,Sul/Sudoeste de Minas,0,0,0,0,7,0,0,0,0,6867,6867,27525,530,0,1836,0,15180,2400,0,0,0,3
3102050,Alto Caparaó,Zona da Mata,0,0,0,0,0,0,15,0,0,3880,3880,30,15,0,0,0,133,0,0,0,0,0
3102100,Alto Rio Doce,Zona da Mata,0,0,0,0,5,0,0,0,0,0,0,15000,330,0,0,0,1680,0,0,0,0,0
3102209,Alvarenga,Vale do Rio Doce,0,0,0,0,12,0,30,0,0,525,520,420,29,0,26,0,42,0,0,0,0,0
3102308,Alvinópolis,Metropolitana de Belo Horizonte,0,0,0,2,0,0,33,0,0,3,3,5680,96,0,0,0,1224,0,0,0,0,0
3102407,Alvorada de Minas,Metropolitana de Belo Horizonte,0,0,0,0,0,0,48,0,0,5,5,420,10,0,0,0,189,0,0,0,0,0
3102506,Amparo do Serra,Zona da Mata,0,0,0,0,0,0,60,0,0,196,196,3920,84,0,0,0,1076,0,0,280,0,0
3102605,Andradas,Sul/Sudoeste de Minas,0,0,0,0,0,0,5535,480,2530,9950,9950,1020,10,0,0,0,4795,92,0,2500,300,300
3102704,Cachoeira de Pajeú,Jequitinhonha,0,15,0,1,0,0,42,0,0,5,5,2400,94,0,14,0,100,0,0,0,0,0
3102803,Andrelândia,Sul/Sudoeste de Minas,0,0,0,0,0,0,0,0,0,420,420,4670,1628,0,2390,8,12090,4560,0,0,3845,2
3102852,Angelândia,Jequitinhonha,0,0,0,12,3,0,104,5,0,2812,2812,800,123,0,30,0,628,0,0,50,0,2
3102902,Antônio Carlos,Campo das Vertentes,120,0,0,0,0,5,0,0,200,0,0,200,136,0,13,0,2250,0,0,1296,0,7
3103009,Antônio Dias,Vale do Rio Doce,0,0,0,2,0,0,62,0,0,1,1,630,9,0,0,0,54,0,0,40,0,0
3103108,Antônio Prado de Minas,Zona da Mata,0,0,0,0,0,0,11,0,0,75,70,385,5,0,0,0,105,0,0,0,0,0
