,ano,uf,cod,nome_mun,cultura,seguradora,sinistro,apolices,valor_segurado,premios,subvencao,indenizacoes,sinistralidade,taxa,sinistro2
0,2017,GO,52,abadia_de_goias,Pecuário,Swiss Re,SEM REGISTRO DE SINISTRO,1,63000.0,738.89,332.5,0.0,0.0,0.0117284126984127,False
1,2017,GO,52,abadiania,Soja,Aliança do Brasil,SEM REGISTRO DE SINISTRO,8,3859644.45,149510.55,52328.69,0.0,0.0,0.0385348690496815,False
2,2017,GO,52,abadiania,Soja,Mapfre,SEM REGISTRO DE SINISTRO,4,633490.91,44461.72,17784.67,0.0,0.0,0.0679448399769994,False
3,2017,GO,52,abadiania,Tomate,Porto Seguro,SEM REGISTRO DE SINISTRO,1,199920.0,6987.0,3144.15,0.0,0.0,0.0349489795918367,False
4,2017,GO,52,acreuna,Milho 2ª safra,Aliança do Brasil,SECA,1,103063.68,6441.48,2898.67,25260.91,3.9216003154554504,0.0625,True
5,2017,GO,52,acreuna,Milho 2ª safra,Aliança do Brasil,SEM REGISTRO DE SINISTRO,2,177498.56,11093.66,4992.14,0.0,0.0,0.0625,False
6,2017,GO,52,acreuna,Milho 2ª safra,Swiss Re,SECA,1,428400.0,42959.01,19331.55,150324.25,3.49924846964583,0.10027780112044801,True
7,2017,GO,52,acreuna,Milho 2ª safra,Swiss Re,SEM REGISTRO DE SINISTRO,3,1233600.0,123702.69,55666.21,0.0,0.0,0.100277796348975,False
8,2017,GO,52,acreuna,Milho 2ª safra,Tokio Marine,SEM REGISTRO DE SINISTRO,1,375564.58,44390.62,19975.75,0.0,0.0,0.11819703551383899,False
9,2017,GO,52,acreuna,Soja,Aliança do Brasil,SECA,2,1658463.23,62163.82,21757.34,247760.8,3.9856109228808703,0.0374827845716978,True
10,2017,GO,52,acreuna,Soja,Aliança do Brasil,SEM REGISTRO DE SINISTRO,4,1574228.83,58458.79,20460.58,0.0,0.0,0.0373201348264823,False
11,2017,GO,52,acreuna,Soja,Allianz,SECA,1,265840.8,16097.61,6439.03,106577.84,6.62072444294526,0.0605535719122121,True
12,2017,GO,52,acreuna,Soja,Allianz,SEM REGISTRO DE SINISTRO,15,6165528.49,370588.74,148774.6,0.0,0.0,0.0627131086098052,False
13,2017,GO,52,acreuna,Soja,Swiss Re,SEM REGISTRO DE SINISTRO,1,1168181.55,108668.05,48900.62,0.0,0.0,0.0930232548185682,False
14,2017,GO,52,acreuna,Soja,Tokio Marine,SEM REGISTRO DE SINISTRO,1,376451.07,23083.73,9233.47,0.0,0.0,0.0613193369326856,False
15,2017,GO,52,acreuna,Sorgo,Aliança do Brasil,SEM REGISTRO DE SINISTRO,1,195251.98,13858.64,6236.39,0.0,0.0,0.0709782302847838,False
16,2017,GO,52,agua_fria_de_goias,Milho 1ª safra,Mapfre,SEM REGISTRO DE SINISTRO,4,381092.4,18921.42,8514.61,0.0,0.0,0.0485439930836316,False
17,2017,GO,52,agua_fria_de_goias,Milho 2ª safra,Aliança do Brasil,SEM REGISTRO DE SINISTRO,1,207716.8,12982.3,5842.04,0.0,0.0,0.0625,False
18,2017,GO,52,agua_fria_de_goias,Soja,Aliança do Brasil,SEM REGISTRO DE SINISTRO,21,13599653.02,519978.89,181992.6,0.0,0.0,0.038513626456448,False
19,2017,GO,52,agua_fria_de_goias,Soja,Mapfre,SECA,1,99661.29,5270.35,2371.65,53906.74,10.228303623099,0.0528826187178593,True
